candidate_id,run_role,geo_id,canonical_metric_key,feature_component,feature_origin,series_variant,series_family,comparison_pair,minimum_calendar_month_mean_absolute_change,maximum_calendar_month_mean_absolute_change,seasonal_spread,minimum_month,maximum_month,baseline_seasonal_spread,seasonal_spread_ratio_challenger_vs_baseline,dimension,axis
price_family_ma12_structural_linked,challenger,alameda_county_ca__county,price_to_income,long,normalized_feature,normalized_score,normalized_feature,baseline_vs_challenger,0.03319385254017012,0.34434459814306234,0.31115074560289224,8.0,12.0,0.46074093959041607,0.6753268895086582,,
price_family_ma12_structural_linked,baseline,alameda_county_ca__county,price_to_income,short,normalized_feature,normalized_score,normalized_feature,baseline_vs_challenger,0.25615602675714816,1.1462191939852646,0.8900631672281165,8.0,2.0,0.8900631672281165,1.0,,
price_family_ma12_structural_linked,challenger,alameda_county_ca__county,price_to_income,short,normalized_feature,normalized_score,normalized_feature,baseline_vs_challenger,0.016015590655836753,0.5475876960844479,0.5315721054286111,1.0,12.0,0.8900631672281165,0.5972296405479424,,
price_family_ma12_structural_linked,baseline,district_of_columbia_dc__county,median_ppsf,level,normalized_feature,normalized_score,normalized_feature,baseline_vs_challenger,0.08974429883197105,0.4421020215472257,0.3523577227152547,6.0,2.0,0.3523577227152547,1.0,,
price_family_ma12_structural_linked,challenger,district_of_columbia_dc__county,median_ppsf,level,normalized_feature,normalized_score,normalized_feature,baseline_vs_challenger,0.020535303192995992,0.048071467743206114,0.027536164550210122,12.0,4.0,0.3523577227152547,0.07814832136505347,,
price_family_ma12_structural_linked,baseline,district_of_columbia_dc__county,median_ppsf,long,normalized_feature,normalized_score,normalized_feature,baseline_vs_challenger,0.2527876337627658,0.6385331752944405,0.38574554153167473,12.0,1.0,0.38574554153167473,1.0,,
price_family_ma12_structural_linked,challenger,district_of_columbia_dc__county,median_ppsf,long,normalized_feature,normalized_score,normalized_feature,baseline_vs_challenger,0.06381730456651721,0.2108864419891373,0.1470691374226201,3.0,10.0,0.38574554153167473,0.3812594614539279,,
price_family_ma12_structural_linked,baseline,district_of_columbia_dc__county,median_ppsf,short,normalized_feature,normalized_score,normalized_feature,baseline_vs_challenger,0.5463978128356586,1.2031755683657732,0.6567777555301146,9.0,2.0,0.6567777555301146,1.0,,
price_family_ma12_structural_linked,challenger,district_of_columbia_dc__county,median_ppsf,short,normalized_feature,normalized_score,normalized_feature,baseline_vs_challenger,0.09558047780131092,0.25718220401165653,0.16160172621034563,3.0,7.0,0.6567777555301146,0.24605237441379188,,
price_family_ma12_structural_linked,baseline,district_of_columbia_dc__county,median_sale_price,level,normalized_feature,normalized_score,normalized_feature,baseline_vs_challenger,0.08044762408218516,0.39433000540837476,0.3138823813261896,6.0,2.0,0.3138823813261896,1.0,,
price_family_ma12_structural_linked,challenger,district_of_columbia_dc__county,median_sale_price,level,normalized_feature,normalized_score,normalized_feature,baseline_vs_challenger,0.010796303369832777,0.0379634288475752,0.027167125477742422,3.0,4.0,0.3138823813261896,0.08655192866499277,,
price_family_ma12_structural_linked,baseline,district_of_columbia_dc__county,median_sale_price,long,normalized_feature,normalized_score,normalized_feature,baseline_vs_challenger,0.3576699434263556,0.9242981413990841,0.5666281979727285,9.0,2.0,0.5666281979727285,1.0,,
price_family_ma12_structural_linked,challenger,district_of_columbia_dc__county,median_sale_price,long,normalized_feature,normalized_score,normalized_feature,baseline_vs_challenger,0.08463779118303334,0.23837576256732787,0.15373797138429451,9.0,2.0,0.5666281979727285,0.27132072130249657,,
price_family_ma12_structural_linked,baseline,district_of_columbia_dc__county,median_sale_price,short,normalized_feature,normalized_score,normalized_feature,baseline_vs_challenger,0.2861971193577818,1.1362089131806832,0.8500117938229014,8.0,2.0,0.8500117938229014,1.0,,
price_family_ma12_structural_linked,challenger,district_of_columbia_dc__county,median_sale_price,short,normalized_feature,normalized_score,normalized_feature,baseline_vs_challenger,0.16498342913890135,0.4810983361047707,0.31611490696586936,10.0,4.0,0.8500117938229014,0.37189473047680016,,
price_family_ma12_structural_linked,baseline,district_of_columbia_dc__county,payment_burden,level,normalized_feature,normalized_score,normalized_feature,baseline_vs_challenger,0.12053291677536562,0.43735266679351414,0.31681975001814855,6.0,2.0,0.31681975001814855,1.0,,
price_family_ma12_structural_linked,challenger,district_of_columbia_dc__county,payment_burden,level,normalized_feature,normalized_score,normalized_feature,baseline_vs_challenger,0.05867670721251483,0.3700146798390469,0.31133797262653207,5.0,12.0,0.31681975001814855,0.9826974884258243,,
price_family_ma12_structural_linked,baseline,district_of_columbia_dc__county,payment_burden,long,normalized_feature,normalized_score,normalized_feature,baseline_vs_challenger,0.22322827416572577,0.5195881327431817,0.29635985857745595,9.0,2.0,0.29635985857745595,1.0,,
price_family_ma12_structural_linked,challenger,district_of_columbia_dc__county,payment_burden,long,normalized_feature,normalized_score,normalized_feature,baseline_vs_challenger,0.06557336186402929,0.41909257736856914,0.35351921550453985,10.0,12.0,0.29635985857745595,1.1928714543239831,,
price_family_ma12_structural_linked,baseline,district_of_columbia_dc__county,payment_burden,short,normalized_feature,normalized_score,normalized_feature,baseline_vs_challenger,0.2722235778359873,1.0729379588088337,0.8007143809728464,8.0,2.0,0.8007143809728464,1.0,,
price_family_ma12_structural_linked,challenger,district_of_columbia_dc__county,payment_burden,short,normalized_feature,normalized_score,normalized_feature,baseline_vs_challenger,0.08406915928932812,0.7761311267519739,0.6920619674626458,1.0,12.0,0.8007143809728464,0.8643056549350459,,
price_family_ma12_structural_linked,baseline,district_of_columbia_dc__county,price_to_income,level,normalized_feature,normalized_score,normalized_feature,baseline_vs_challenger,0.2029273867548269,0.5356521708546368,0.3327247840998099,8.0,10.0,0.3327247840998099,1.0,,
price_family_ma12_structural_linked,challenger,district_of_columbia_dc__county,price_to_income,level,normalized_feature,normalized_score,normalized_feature,baseline_vs_challenger,0.030620023418318345,0.5781503821439524,0.547530358725634,4.0,12.0,0.3327247840998099,1.6455953535501804,,
price_family_ma12_structural_linked,baseline,district_of_columbia_dc__county,price_to_income,long,normalized_feature,normalized_score,normalized_feature,baseline_vs_challenger,0.3131325378478216,0.7310373317145641,0.4179047938667425,9.0,2.0,0.4179047938667425,1.0,,
price_family_ma12_structural_linked,challenger,district_of_columbia_dc__county,price_to_income,long,normalized_feature,normalized_score,normalized_feature,baseline_vs_challenger,0.03457812741094475,0.706128711880765,0.6715505844698202,3.0,12.0,0.4179047938667425,1.6069463531542014,,
