candidate_id,run_role,geo_id,canonical_metric_key,feature_component,rows,first_date,last_date,mean_value,value_std,mean_absolute_change_1m,p90_absolute_change_1m,maximum_absolute_change_1m,sign_flip_rate,near_zero_rate,overlap_rows,baseline_challenger_correlation,mean_absolute_baseline_challenger_difference,feature_origin,series_variant
price_family_ma12_structural_linked,raw_source,20001_district_of_columbia_dc__zip,median_ppsf,level,160,2012-03-31,2026-05-31,573.5987486320662,45.69460876673839,2.127229406149899,4.370228521533344,7.1102196713333115,0.0,0.0,160.0,1.0,0.0,raw_source,raw_level
price_family_ma12_structural_linked,structural_ma12,20001_district_of_columbia_dc__zip,median_ppsf,level,160,2012-03-31,2026-05-31,573.5987486320662,45.69460876673839,2.127229406149899,4.370228521533344,7.1102196713333115,0.0,0.0,160.0,1.0,0.0,structural_ma12,ma12_level
price_family_ma12_structural_linked,raw_source,20001_district_of_columbia_dc__zip,median_sale_price,level,160,2012-03-31,2026-05-31,658458.4088541667,75481.44468395818,3099.0400943396244,6463.366666666699,8750.0,0.0,0.0,160.0,1.0,0.0,raw_source,raw_level
price_family_ma12_structural_linked,structural_ma12,20001_district_of_columbia_dc__zip,median_sale_price,level,160,2012-03-31,2026-05-31,658458.4088541667,75481.44468395818,3099.0400943396244,6463.366666666699,8750.0,0.0,0.0,160.0,1.0,0.0,structural_ma12,ma12_level
price_family_ma12_structural_linked,raw_source,20002_district_of_columbia_dc__zip,median_ppsf,level,160,2012-03-31,2026-05-31,469.22232884704636,53.297098213265315,2.1738926252064954,3.9755819054666306,5.920708673083311,0.0,0.0,160.0,1.0,0.0,raw_source,raw_level
price_family_ma12_structural_linked,structural_ma12,20002_district_of_columbia_dc__zip,median_ppsf,level,160,2012-03-31,2026-05-31,469.22232884704636,53.297098213265315,2.1738926252064954,3.9755819054666306,5.920708673083311,0.0,0.0,160.0,1.0,0.0,structural_ma12,ma12_level
price_family_ma12_structural_linked,raw_source,20002_district_of_columbia_dc__zip,median_sale_price,level,160,2012-03-31,2026-05-31,632876.0283854167,89774.89791684653,3264.334381551362,6217.024999999967,8750.0,0.0,0.0,160.0,1.0,0.0,raw_source,raw_level
price_family_ma12_structural_linked,structural_ma12,20002_district_of_columbia_dc__zip,median_sale_price,level,160,2012-03-31,2026-05-31,632876.0283854167,89774.89791684653,3264.334381551362,6217.024999999967,8750.0,0.0,0.0,160.0,1.0,0.0,structural_ma12,ma12_level
price_family_ma12_structural_linked,raw_source,20003_district_of_columbia_dc__zip,median_ppsf,level,160,2012-03-31,2026-05-31,571.1695009520874,57.90913446889263,1.8619969314439269,3.8192060769999903,6.050000000000068,0.0,0.0,160.0,1.0,0.0,raw_source,raw_level
price_family_ma12_structural_linked,structural_ma12,20003_district_of_columbia_dc__zip,median_ppsf,level,160,2012-03-31,2026-05-31,571.1695009520874,57.90913446889263,1.8619969314439269,3.8192060769999903,6.050000000000068,0.0,0.0,160.0,1.0,0.0,structural_ma12,ma12_level
price_family_ma12_structural_linked,raw_source,20003_district_of_columbia_dc__zip,median_sale_price,level,160,2012-03-31,2026-05-31,747315.6109375,101168.97094739888,4375.366876310277,9045.83333333338,15833.333333333372,0.0,0.0,160.0,1.0,0.0,raw_source,raw_level
price_family_ma12_structural_linked,structural_ma12,20003_district_of_columbia_dc__zip,median_sale_price,level,160,2012-03-31,2026-05-31,747315.6109375,101168.97094739888,4375.366876310277,9045.83333333338,15833.333333333372,0.0,0.0,160.0,1.0,0.0,structural_ma12,ma12_level
price_family_ma12_structural_linked,raw_source,20004_district_of_columbia_dc__zip,median_ppsf,level,160,2012-03-31,2026-05-31,593.4053958273624,26.016890527011384,2.0643891400524135,4.557646489800074,8.010833333333267,0.0,0.0,160.0,1.0,0.0,raw_source,raw_level
price_family_ma12_structural_linked,structural_ma12,20004_district_of_columbia_dc__zip,median_ppsf,level,160,2012-03-31,2026-05-31,593.4053958273624,26.016890527011384,2.0643891400524135,4.557646489800074,8.010833333333267,0.0,0.0,160.0,1.0,0.0,structural_ma12,ma12_level
price_family_ma12_structural_linked,raw_source,20004_district_of_columbia_dc__zip,median_sale_price,level,160,2012-03-31,2026-05-31,486759.95,24423.137201171863,4183.722222222221,11040.833333333374,22083.333333333314,0.0,0.0,160.0,1.0,0.0,raw_source,raw_level
price_family_ma12_structural_linked,structural_ma12,20004_district_of_columbia_dc__zip,median_sale_price,level,160,2012-03-31,2026-05-31,486759.95,24423.137201171863,4183.722222222221,11040.833333333374,22083.333333333314,0.0,0.0,160.0,1.0,0.0,structural_ma12,ma12_level
price_family_ma12_structural_linked,raw_source,20005_district_of_columbia_dc__zip,median_ppsf,level,160,2012-03-31,2026-05-31,658.7537585957423,39.57960434302961,2.770748692168758,5.752859106350053,13.772244166833389,0.0,0.0,160.0,1.0,0.0,raw_source,raw_level
