candidate_id,geo_id,period,first_date,last_date,aligned_observation_count,mortgage_observation_count,structural_median_sale_price_change,structural_median_sale_price_pct_change,mortgage_rate_change,payment_burden_change,price_to_income_change,payment_burden_changes_while_structural_price_slow,payment_burden_price_to_income_distinct_aligned,affordability_materiality_review_flag,payment_burden_price_to_income_not_distinct_flag,shock_suppression_trigger
price_family_ma9_structural_linked,20720_prince_george_s_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20721_prince_george_s_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20722_prince_george_s_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20731_prince_george_s_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20735_prince_george_s_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20737_prince_george_s_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20740_prince_george_s_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20741_prince_george_s_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20743_prince_george_s_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20744_prince_george_s_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20745_prince_george_s_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20746_prince_george_s_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20747_prince_george_s_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20748_prince_george_s_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20757_prince_george_s_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20768_prince_george_s_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20769_prince_george_s_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20770_prince_george_s_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20772_prince_george_s_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20774_prince_george_s_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20781_prince_george_s_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20782_prince_george_s_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20783_prince_george_s_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20784_prince_george_s_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20785_prince_george_s_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20812_montgomery_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20814_montgomery_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20815_montgomery_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20816_montgomery_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20817_montgomery_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20818_montgomery_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20824_montgomery_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20830_montgomery_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20832_montgomery_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20833_montgomery_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20837_montgomery_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20838_montgomery_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20839_montgomery_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20841_montgomery_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20842_montgomery_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20848_montgomery_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20849_montgomery_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20850_montgomery_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
price_family_ma9_structural_linked,20851_montgomery_county_md__zip,mortgage_rate_affordability_shock,,,0,0,,,,,,,False,False,False,False
