PERIOD_END	PERIOD_BEGIN	PERIOD_DURATION	REGION_TYPE	REGION_TYPE_ID	TABLE_ID	IS_SEASONALLY_ADJUSTED	REGION	CITY	STATE	STATE_CODE	PROPERTY_TYPE	PROPERTY_TYPE_ID	MEDIAN_SALE_PRICE	MEDIAN_SALE_PRICE_MOM	MEDIAN_SALE_PRICE_YOY	MEDIAN_LIST_PRICE	MEDIAN_LIST_PRICE_MOM	MEDIAN_LIST_PRICE_YOY	MEDIAN_PPSF	MEDIAN_PPSF_MOM	MEDIAN_PPSF_YOY	MEDIAN_LIST_PPSF	MEDIAN_LIST_PPSF_MOM	MEDIAN_LIST_PPSF_YOY	HOMES_SOLD	HOMES_SOLD_MOM	HOMES_SOLD_YOY	PENDING_SALES	PENDING_SALES_MOM	PENDING_SALES_YOY	NEW_LISTINGS	NEW_LISTINGS_MOM	NEW_LISTINGS_YOY	INVENTORY	INVENTORY_MOM	INVENTORY_YOY	MONTHS_OF_SUPPLY	MONTHS_OF_SUPPLY_MOM	MONTHS_OF_SUPPLY_YOY	MEDIAN_DOM	MEDIAN_DOM_MOM	MEDIAN_DOM_YOY	AVG_SALE_TO_LIST	AVG_SALE_TO_LIST_MOM	AVG_SALE_TO_LIST_YOY	SOLD_ABOVE_LIST	SOLD_ABOVE_LIST_MOM	SOLD_ABOVE_LIST_YOY	PRICE_DROPS	PRICE_DROPS_MOM	PRICE_DROPS_YOY	OFF_MARKET_IN_TWO_WEEKS	OFF_MARKET_IN_TWO_WEEKS_MOM	OFF_MARKET_IN_TWO_WEEKS_YOY	PARENT_METRO_REGION	PARENT_METRO_REGION_METRO_CODE	LAST_UPDATED	_norm_region	_norm_city	_norm_state	_norm_county	_norm_rtype
2016-09-30	2016-09-01	30	county	5	436	False	District of Columbia, DC		Columbia	DC	Townhouse	13	653505.0	0.006243744707	0.0211015625	574495.0	0.2094631579	0.05411926606	407.608695652	-0.04891304348	-0.0337019615	477.429557753	0.1212188182	0.0175587704	296.0	-0.2169312169	0.1127819549	285.0	-0.2673521851	-0.176300578	446.0	0.5379310345	-0.006681514477	588.0	0.171314741	-0.04078303426	2.0	0.7	-0.3	21.0	-1.0	3.0	0.9958684592	-0.00188895669	-0.009330599117	0.3310810811	-0.04193479193	-0.06365576102	0.2517006803	-0.02718378188	-0.02725527405	0.3192982456	0.1290668831	0.01293986411	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	district of columbia dc	nan	columbia		county
2013-07-31	2013-07-01	30	county	5	436	False	District of Columbia, DC		Columbia	DC	All Residential	-1	511500.0	-0.02571428571	0.152027027	472000.0	0.004469035965	0.1526251526	438.995215311	-0.04775413776	0.1106431782	432.817530304	-0.002037497465	0.1045624349	832.0	-0.02803738318	0.2040520984	993.0	-0.04150579151	0.3510204082	856.0	-0.1220512821	0.2606774669	1470.0	-0.04172099087	-0.1690220464	1.8	0.0	-0.8	14.0	1.0	-15.0	1.002742432	-0.002107287589	0.01515718783	0.3581730769	-0.06706056794	0.09044514639	0.2380952381	0.01906003601	0.01876228162	0.2074521652	-0.009729302025	0.01969706312	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	district of columbia dc	nan	columbia		county
2020-05-31	2020-05-01	30	county	5	436	False	District of Columbia, DC		Columbia	DC	Townhouse	13	735000.0	0.0507505361	0.02797202797	674400.0	0.08905055268	0.1298848168	430.399523043	0.01221408317	0.01076445717	522.734468029	0.05880199826	0.06256616726	254.0	0.0	-0.3995271868	393.0	0.5657370518	-0.06205250597	362.0	0.1715210356	-0.2672064777	647.0	0.02373417722	0.007788161994	2.5	0.0	1.0	26.0	1.0	7.0	0.9960895255	-0.0100204305	-0.006961329238	0.3070866142	-0.125984252	-0.1066249698	0.2055641422	0.05999452194	-0.09817417556	0.4300254453	-0.04009407662	-0.1475401872	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	district of columbia dc	nan	columbia		county
2017-10-31	2017-10-01	30	county	5	436	False	District of Columbia, DC		Columbia	DC	All Residential	-1	550000.0	0.09780439122	0.01851851852	559900.0	-0.0652754591	0.001610017889	461.904761905	0.03691011873	-0.006287749578	494.535663842	0.006808952667	0.07345527411	901.0	0.3819018405	0.338781575	1074.0	0.378690629	0.3259259259	1059.0	-0.1989409985	0.158643326	1897.0	0.02374527793	0.1531914894	2.1	-0.7	-0.3	13.0	-14.0	-6.0	1.001460382	0.00770505477	0.001059355652	0.3795782464	0.07282978014	0.008107221133	0.290985767	0.03302570224	0.03566661806	0.2188081937	-0.1303574033	-0.05896958411	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	district of columbia dc	nan	columbia		county
2022-01-31	2022-01-01	30	county	5	436	False	District of Columbia, DC		Columbia	DC	Condo/Co-op	3	499000.0	0.01940755873	0.05552617663	646150.0	0.0770961827	0.09619136483	571.307230329	-0.04185582576	-0.03263789243	545.272727273	0.09054545455	0.01074944568	283.0	-0.2225274725	-0.09003215434	400.0	0.2820512821	-0.08466819222	440.0	1.211055276	-0.1603053435	1034.0	0.02783300199	-0.1433305717	3.7	0.9	-0.2	73.0	18.0	18.0	0.9874925501	-0.003501298384	-0.005929512794	0.1554770318	-0.07529219897	-0.06960335405	0.1624758221	0.02331081211	-0.000738759557	0.3525	0.1730128205	0.004673913043	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	district of columbia dc	nan	columbia		county
2012-01-31	2012-01-01	30	county	5	436	False	District of Columbia, DC		Columbia	DC	Single Family Residential	6	475000.0	-0.06862745098	0.1710063752	409000.0	0.1710808876	0.2212600776	241.094979792	-0.1348669463	0.0282846126	372.666666667	0.2728011449	0.173571542	74.0	-0.26	-0.09756097561	93.0	0.0	-0.01063829787	118.0	0.873015873	0.1346153846	349.0	-0.008522727273	-0.1508515815	4.7	1.2	-0.3	54.0	-8.0	-15.0	0.9730872453	0.01751961049	0.02182720906	0.1486486486	0.06864864865	-0.04647330257	0.1891117479	0.03286174785	-0.03229944436	0.1505376344	0.04301075269	0.06543125143	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	district of columbia dc	nan	columbia		county
2021-11-30	2021-11-01	30	county	5	436	False	District of Columbia, DC		Columbia	DC	Townhouse	13	860000.0	-0.01545506583	0.07634543179	625000.0	-0.03846153846	0.02040816327	478.533094812	-0.04584503833	0.06986327626	516.586040083	-0.02685582312	-0.02245828496	387.0	0.02110817942	0.04312668464	403.0	-0.07780320366	0.2138554217	329.0	-0.2832244009	0.1305841924	698.0	-0.1231155779	0.07055214724	1.8	-0.3	0.0	28.0	3.0	3.0	1.000939219	-0.00309021743	-0.001266357662	0.3514211886	-0.06546535491	-0.03941439088	0.2693409742	-0.05226706599	0.03467839752	0.3920595533	-0.1159496	-0.1079404467	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	district of columbia dc	nan	columbia		county
2016-11-30	2016-11-01	30	county	5	436	False	District of Columbia, DC		Columbia	DC	Condo/Co-op	3	408750.0	-0.02446300716	-0.0325443787	529000.0	-0.05366726297	0.03929273084	541.424418605	0.03820849545	0.00213624254	454.731032597	-0.01294595935	0.01492586062	290.0	-0.04290429043	0.04316546763	289.0	-0.1052631579	-0.118902439	301.0	-0.1707988981	0.04152249135	696.0	-0.01694915254	0.01903367496	2.4	0.1	-0.1	20.0	-4.0	-4.0	0.9940618521	-0.004807030216	0.001413074916	0.3103448276	-0.01968817571	0.05854626644	0.2126436782	-0.03453146308	-0.02454519446	0.214532872	-0.03004917137	0.02855726222	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	district of columbia dc	nan	columbia		county
2013-11-30	2013-11-01	30	county	5	436	False	District of Columbia, DC		Columbia	DC	Multi-Family (2-4 Unit)	4	308750.0	0.09098939929	0.2300796813	449900.0	-0.04762912786	0.02273243919	164.105378705	0.4946212953	0.7783531079	402.647058824	-0.07081447964	-0.004426324985	18.0	0.2	0.6363636364	24.0	0.3333333333	0.6	21.0	0.05	0.3125	61.0	0.1296296296	-0.1285714286	3.4	-0.2	-3.0	76.0	39.0	37.0	0.9970774284	0.02510081611	0.01179679532	0.2222222222	0.02222222222	-0.05050505051	0.08196721311	-0.01062537948	-0.06088992974	0.125	-0.04166666667	0.05833333333	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	district of columbia dc	nan	columbia		county
2012-09-30	2012-09-01	30	county	5	436	False	District of Columbia, DC		Columbia	DC	Single Family Residential	6	647500.0	-0.02558314522	0.604708798	457000.0	0.1025331725	0.01781737194	284.256559767	-0.09932486422	0.1431165495	420.37586548	0.1890631624	0.09683465587	92.0	-0.08	-0.08	101.0	-0.05607476636	-0.1367521368	160.0	0.9512195122	0.03896103896	329.0	0.1666666667	-0.2847826087	3.6	0.8	-1.0	64.0	32.0	7.0	0.9808915131	-0.001135948437	0.01039084535	0.2282608696	-0.01173913043	0.01826086957	0.2066869301	0.02583586626	-0.03679133078	0.1782178218	0.08475987786	0.04146568503	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	district of columbia dc	nan	columbia		county
2019-05-31	2019-05-01	30	county	5	436	False	District of Columbia, DC		Columbia	DC	All Residential	-1	594900.0	0.01001697793	0.001515151515	596875.0	-0.02143618329	-0.03574313409	473.548938693	-0.03242433067	-0.08267226304	491.954745159	0.02947933147	-0.04609174116	1006.0	0.08172043011	-0.02519379845	1059.0	-0.05361930295	0.006653992395	1295.0	0.03766025641	0.005434782609	1863.0	0.09202813599	0.0818815331	1.9	0.1	0.2	20.0	-1.0	8.0	1.000673448	-0.004832558548	-0.005326318847	0.3827037773	0.01496184185	-0.03396288933	0.2716049383	0.04358618094	-0.07450423711	0.5580736544	-0.01565288716	0.03240825515	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	district of columbia dc	nan	columbia		county
2022-03-31	2022-03-01	30	county	5	436	False	District of Columbia, DC		Columbia	DC	Single Family Residential	6	1215000.0	0.06672519754	0.378332388	679000.0	0.06929133858	0.04622496148	458.900655572	0.02418977979	0.1030760516	544.553376906	0.03450384068	-0.01480776231	93.0	0.0	-0.3161764706	132.0	0.1891891892	-0.1592356688	146.0	0.1145038168	0.02097902098	204.0	0.1147540984	0.4890510949	2.2	0.2	1.2	13.0	-6.0	-12.0	1.026792834	-0.009450909438	-0.004482590511	0.4838709677	-0.03225806452	0.005929791271	0.1960784314	0.06493089039	-0.008301130671	0.6363636364	0.02375102375	-0.03242617255	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	district of columbia dc	nan	columbia		county
2013-06-30	2013-06-01	30	county	5	436	False	District of Columbia, DC		Columbia	DC	Townhouse	13	624450.0	0.05659898477	0.1782075472	469900.0	-0.1047818632	0.1056470588	422.764227642	0.07003018182	0.2175609756	433.70119539	-0.007335575631	0.02959390746	355.0	0.08895705521	0.1639344262	435.0	0.0794044665	0.3221884498	385.0	-0.1463414634	0.262295082	538.0	0.03461538462	-0.1165845649	1.5	-0.1	-0.5	11.0	0.0	-8.0	1.010541366	-0.001850093974	0.008269350811	0.476056338	-0.01474120798	0.1547448626	0.2750929368	0.02701601373	0.04684991546	0.2206896552	-0.06963292547	0.02616077979	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	district of columbia dc	nan	columbia		county
2020-06-30	2020-06-01	30	county	5	436	False	District of Columbia, DC		Columbia	DC	All Residential	-1	620000.0	-0.04615384615	0.01639344262	650000.0	-0.03618030842	0.05008077544	478.818389058	-0.01238186136	0.01562212431	517.94218287	-0.009167723676	0.07950054956	809.0	0.3573825503	-0.1291711518	1139.0	0.2078472959	0.1563451777	1120.0	0.1752360965	0.05960264901	1954.0	0.03167898627	0.01664932362	2.4	-0.8	0.3	31.0	1.0	11.0	0.9967916383	0.002833320999	-0.002730018914	0.3275648949	0.05071925735	-0.07071282304	0.1944728762	-0.003520788051	-0.06671338816	0.4925373134	0.07154049477	0.01944086673	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	district of columbia dc	nan	columbia		county
2014-12-31	2014-12-01	30	county	5	436	False	District of Columbia, DC		Columbia	DC	All Residential	-1	503500.0	-0.00297029703	0.06	449000.0	-0.07897435897	0.0	423.839458414	-0.01276166366	-0.009629979025	373.469387755	-0.09116866478	-0.04671167137	718.0	0.2046979866	-0.02578018996	719.0	-0.05394736842	-0.1145320197	435.0	-0.1944444444	-0.03761061947	1261.0	-0.1531229013	-0.07888970051	1.8	-0.7	-0.1	31.0	10.0	6.0	0.9921542475	0.001118745563	0.001072123512	0.2757660167	-0.01450243966	-0.01731403756	0.1919111816	-0.04650386205	0.01367889526	0.1084840056	-0.06783178391	-0.02452092055	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	district of columbia dc	nan	columbia		county
