PERIOD_END	PERIOD_BEGIN	PERIOD_DURATION	REGION_TYPE	REGION_TYPE_ID	TABLE_ID	IS_SEASONALLY_ADJUSTED	REGION	CITY	STATE	STATE_CODE	PROPERTY_TYPE	PROPERTY_TYPE_ID	MEDIAN_SALE_PRICE	MEDIAN_SALE_PRICE_MOM	MEDIAN_SALE_PRICE_YOY	MEDIAN_LIST_PRICE	MEDIAN_LIST_PRICE_MOM	MEDIAN_LIST_PRICE_YOY	MEDIAN_PPSF	MEDIAN_PPSF_MOM	MEDIAN_PPSF_YOY	MEDIAN_LIST_PPSF	MEDIAN_LIST_PPSF_MOM	MEDIAN_LIST_PPSF_YOY	HOMES_SOLD	HOMES_SOLD_MOM	HOMES_SOLD_YOY	PENDING_SALES	PENDING_SALES_MOM	PENDING_SALES_YOY	NEW_LISTINGS	NEW_LISTINGS_MOM	NEW_LISTINGS_YOY	INVENTORY	INVENTORY_MOM	INVENTORY_YOY	MONTHS_OF_SUPPLY	MONTHS_OF_SUPPLY_MOM	MONTHS_OF_SUPPLY_YOY	MEDIAN_DOM	MEDIAN_DOM_MOM	MEDIAN_DOM_YOY	AVG_SALE_TO_LIST	AVG_SALE_TO_LIST_MOM	AVG_SALE_TO_LIST_YOY	SOLD_ABOVE_LIST	SOLD_ABOVE_LIST_MOM	SOLD_ABOVE_LIST_YOY	PRICE_DROPS	PRICE_DROPS_MOM	PRICE_DROPS_YOY	OFF_MARKET_IN_TWO_WEEKS	OFF_MARKET_IN_TWO_WEEKS_MOM	OFF_MARKET_IN_TWO_WEEKS_YOY	PARENT_METRO_REGION	PARENT_METRO_REGION_METRO_CODE	LAST_UPDATED	_n_region	_n_city	_n_state	_n_county	_state_code
2013-08-31	2013-08-01	30	county	5	3009	False	Prince William County, VA		Virginia	VA	Single Family Residential	6	389450.0	-0.026375	0.06698630137	310000.0	0.01672679567	0.1272727273	147.396756987	-0.003786832756	0.06754650019	153.402265348	-0.004877224939	0.1043708138	417.0	-0.07947019868	-0.009501187648	488.0	-0.1238779174	0.02736842105	494.0	-0.07142857143	0.3994334278	1055.0	0.06458123108	0.06136820926	2.5	0.3	0.1	30.0	4.0	-12.0	0.9913002555	-0.003076399746	0.00283266725	0.2709832134	-0.01820000953	0.03820411604	0.2786729858	-0.005888063663	0.005031134675	0.1331967213	-0.04274582806	0.01530198447	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	prince william county va	nan	virginia		VA
2016-01-31	2016-01-01	30	county	5	3009	False	Prince William County, VA		Virginia	VA	Condo/Co-op	3	142000.0	-0.2	-0.2111111111	329900.0	0.0309697178	0.005792682927	135.72827988	-0.09598561093	-0.0828233683	157.355182927	0.004205960618	0.00806763141	18.0	-0.1818181818	-0.1428571429	25.0	0.08695652174	-0.1935483871	49.0	0.8846153846	-0.09259259259	106.0	0.1777777778	-0.08620689655	5.9	1.8	0.4	92.0	21.0	56.0	0.9687968261	-0.003222041012	-0.00705730374	0.1111111111	0.06565656566	0.06349206349	0.09433962264	0.005450733753	-0.02635003253	0.16	0.1165217391	0.06322580645	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	prince william county va	nan	virginia		VA
2014-05-31	2014-05-01	30	county	5	3009	False	Prince William County, VA		Virginia	VA	All Residential	-1	310750.0	0.04280273159	0.05338983051	335000.0	-0.04258359531	0.0571158094	154.009968283	0.02562621724	0.04970701816	155.955959951	-0.01180632649	0.04032207137	768.0	0.1601208459	-0.05185185185	1060.0	0.109947644	0.03819784525	1153.0	-0.02370872142	0.1729399797	1856.0	0.06912442396	0.3079633545	2.4	-0.2	0.6	20.0	-7.0	4.0	0.9894272901	0.0001062908842	-0.007196669139	0.21484375	-0.008721204683	-0.1024402006	0.3523706897	0.08336147307	0.1198125501	0.208490566	-0.05747802035	-0.01090218617	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	prince william county va	nan	virginia		VA
2013-11-30	2013-11-01	30	county	5	3009	False	Prince William County, VA		Virginia	VA	All Residential	-1	285000.0	-0.01690238013	0.08179920288	275000.0	-0.08302767589	-0.03508602647	151.199165798	-0.006720808628	0.08324219909	153.10319289	-0.01010866666	0.08017688764	513.0	-0.2119815668	-0.1290322581	650.0	-0.2111650485	-0.0412979351	521.0	-0.2460202605	-0.05272727273	1487.0	-0.07754342432	0.19437751	2.9	0.4	0.8	36.0	8.0	6.0	0.9900061701	-0.001022539986	-0.0007293076692	0.2105263158	-0.03985770879	-0.03225806452	0.2488231338	-0.05390639471	0.02633317399	0.1169230769	-0.002008961912	-0.01582028591	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	prince william county va	nan	virginia		VA
2014-12-31	2014-12-01	30	county	5	3009	False	Prince William County, VA		Virginia	VA	Townhouse	13	261000.0	0.007722007722	0.05241935484	310590.0	0.002873748789	0.03564521507	154.863234111	0.001573302058	0.05690284265	159.58825407	-0.002785077618	0.02238800141	252.0	0.2663316583	0.1943127962	245.0	-0.06130268199	-0.06844106464	171.0	-0.2532751092	0.02395209581	569.0	-0.1326219512	0.1588594705	2.3	-1.0	0.0	61.0	7.0	27.0	0.9850724757	-0.0005460260071	-0.003239691935	0.1904761905	0.02464704475	-0.04649063417	0.2038664323	-0.07967015303	0.0002004445574	0.07755102041	0.008585503167	-0.03271513929	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	prince william county va	nan	virginia		VA
2024-11-30	2024-11-01	30	county	5	3009	False	Prince William County, VA		Virginia	VA	Single Family Residential	6	695000.0	0.06923076923	0.1227786753	549900.0	0.01833333333	0.0575	237.556561086	-0.01047548561	0.00261269397	253.267973856	0.01919668666	0.04336918423	234.0	-0.1428571429	0.206185567	243.0	-0.19	0.2525773196	190.0	-0.2607003891	0.08571428571	339.0	-0.1567164179	0.01801801802	1.4	-0.1	-0.3	38.0	9.0	5.0	0.9976927816	-0.007936802375	-0.001503395397	0.3632478632	-0.09462759463	-0.03365935325	0.2271386431	-0.06888125743	-0.01310159717	0.4897119342	0.02304526749	0.05156760426	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	prince william county va	nan	virginia		VA
2015-01-31	2015-01-01	30	county	5	3009	False	Prince William County, VA		Virginia	VA	Single Family Residential	6	368000.0	-0.08	-0.03790849673	328000.0	0.05605460575	0.0936978993	148.731408574	-0.02336132924	-0.01309065339	156.095859071	-0.02188378474	-0.005781720793	230.0	-0.3465909091	0.1855670103	334.0	-0.07479224377	0.2234432234	371.0	0.7175925926	0.1891025641	1021.0	-0.02576335878	0.3039591315	4.4	1.4	0.4	85.0	19.0	36.0	0.9801290088	-0.01187924265	-0.00839635315	0.1782608696	-0.03196640316	0.008157776782	0.208619001	0.01396251243	-0.02382033491	0.1526946108	0.09452286563	-0.01946656138	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	prince william county va	nan	virginia		VA
2016-05-31	2016-05-01	30	county	5	3009	False	Prince William County, VA		Virginia	VA	All Residential	-1	331000.0	0.006079027356	0.034375	339900.0	-0.05557099194	-0.02882939513	157.223796034	0.01382240891	0.01322001889	157.777777778	-0.006524164996	0.02091503268	903.0	0.1547314578	0.12875	1175.0	0.06142728094	0.1530912659	1097.0	-0.1496124031	-0.1355397951	2057.0	0.003904343582	-0.1920659859	2.3	-0.3	-0.9	21.0	-3.0	-5.0	0.9910914541	0.000175610497	0.002441196158	0.234772979	-0.02481781388	0.008522978959	0.2586290715	0.01851194116	-0.04930494268	0.2059574468	-0.04336504642	0.001835758879	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	prince william county va	nan	virginia		VA
2019-11-30	2019-11-01	30	county	5	3009	False	Prince William County, VA		Virginia	VA	Single Family Residential	6	445000.0	0.01136363636	0.05200945626	365000.0	-0.02666666667	0.0431551872	158.378844328	-0.03455825598	-0.01504263781	173.172123016	0.03010427927	0.02727446118	304.0	-0.1978891821	-0.02250803859	356.0	-0.1483253589	0.09202453988	237.0	-0.2774390244	-0.1713286713	633.0	-0.1445945946	-0.238267148	2.1	0.1	-0.6	49.0	9.0	-7.0	0.9965278237	0.002314929596	0.007609146335	0.2697368421	0.02171573393	0.08324166526	0.2290679305	-0.03714828573	-0.02484302017	0.3314606742	-0.01782162249	0.08606190115	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	prince william county va	nan	virginia		VA
2016-04-30	2016-04-01	30	county	5	3009	False	Prince William County, VA		Virginia	VA	Condo/Co-op	3	173000.0	0.06790123457	-0.1262626263	359900.0	0.002926013655	0.05884083554	165.75255102	0.1198573912	0.02766581633	158.813905903	0.005884601721	0.04192834522	52.0	0.1818181818	0.1063829787	74.0	0.298245614	0.3454545455	69.0	-0.1976744186	-0.01428571429	133.0	0.0390625	0.01526717557	2.6	-0.3	-0.2	39.0	-21.0	-35.0	0.9791632369	-0.003254171768	0.004564754286	0.1923076923	-0.03496503497	0.1072013093	0.2105263158	0.08552631579	0.02732020892	0.2027027027	-0.007823613087	0.03906633907	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	prince william county va	nan	virginia		VA
