source_id,geo_id,provider_geo_fips,geo_class,availability
bea_gdp_ann,monmouth_county_nj__county,34025,county,AVAILABLE_DIRECT
bea_gdp_ann,morris_county_nj__county,34027,county,AVAILABLE_DIRECT
bea_gdp_ann,ocean_county_nj__county,34029,county,AVAILABLE_DIRECT
bea_gdp_ann,somerset_county_nj__county,34035,county,AVAILABLE_DIRECT
bea_gdp_ann,sussex_county_nj__county,34037,county,AVAILABLE_DIRECT
bea_gdp_ann,union_county_nj__county,34039,county,AVAILABLE_DIRECT
bea_gdp_ann,virginia__state,51000,state,AVAILABLE_DIRECT
bea_gdp_ann,albemarle_county_va__county,51003,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,amelia_county_va__county,51007,county,AVAILABLE_DIRECT
bea_gdp_ann,amherst_county_va__county,51009,county,AVAILABLE_DIRECT
bea_gdp_ann,appomattox_county_va__county,51011,county,AVAILABLE_DIRECT
bea_gdp_ann,arlington_county_va__county,51013,county,AVAILABLE_DIRECT
bea_gdp_ann,augusta_county_va__county,51015,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,bedford_county_va__county,51019,county,AVAILABLE_DIRECT
bea_gdp_ann,botetourt_county_va__county,51023,county,AVAILABLE_DIRECT
bea_gdp_ann,campbell_county_va__county,51031,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,charles_city_county_va__county,51036,county,AVAILABLE_DIRECT
bea_gdp_ann,chesterfield_county_va__county,51041,county,AVAILABLE_DIRECT
bea_gdp_ann,clarke_county_va__county,51043,county,AVAILABLE_DIRECT
bea_gdp_ann,craig_county_va__county,51045,county,AVAILABLE_DIRECT
bea_gdp_ann,culpeper_county_va__county,51047,county,AVAILABLE_DIRECT
bea_gdp_ann,dinwiddie_county_va__county,51053,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,fairfax_county_va__county,51059,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,fauquier_county_va__county,51061,county,AVAILABLE_DIRECT
bea_gdp_ann,fluvanna_county_va__county,51065,county,AVAILABLE_DIRECT
bea_gdp_ann,franklin_county_va__county,51067,county,AVAILABLE_DIRECT
bea_gdp_ann,frederick_county_va__county,51069,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,giles_county_va__county,51071,county,AVAILABLE_DIRECT
bea_gdp_ann,gloucester_county_va__county,51073,county,AVAILABLE_DIRECT
bea_gdp_ann,goochland_county_va__county,51075,county,AVAILABLE_DIRECT
bea_gdp_ann,greene_county_va__county,51079,county,AVAILABLE_DIRECT
bea_gdp_ann,hanover_county_va__county,51085,county,AVAILABLE_DIRECT
bea_gdp_ann,henrico_county_va__county,51087,county,AVAILABLE_DIRECT
bea_gdp_ann,henry_county_va__county,51089,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,isle_of_wight_county_va__county,51093,county,AVAILABLE_DIRECT
bea_gdp_ann,james_city_county_va__county,51095,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,king_and_queen_county_va__county,51097,county,AVAILABLE_DIRECT
bea_gdp_ann,king_william_county_va__county,51101,county,AVAILABLE_DIRECT
bea_gdp_ann,loudoun_county_va__county,51107,county,AVAILABLE_DIRECT
bea_gdp_ann,madison_county_va__county,51113,county,AVAILABLE_DIRECT
bea_gdp_ann,mathews_county_va__county,51115,county,AVAILABLE_DIRECT
bea_gdp_ann,montgomery_county_va__county,51121,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,nelson_county_va__county,51125,county,AVAILABLE_DIRECT
bea_gdp_ann,new_kent_county_va__county,51127,county,AVAILABLE_DIRECT
bea_gdp_ann,pittsylvania_county_va__county,51143,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,powhatan_county_va__county,51145,county,AVAILABLE_DIRECT
bea_gdp_ann,prince_george_county_va__county,51149,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,prince_william_county_va__county,51153,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,pulaski_county_va__county,51155,county,AVAILABLE_DIRECT
bea_gdp_ann,rappahannock_county_va__county,51157,county,AVAILABLE_DIRECT
bea_gdp_ann,roanoke_county_va__county,51161,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,rockingham_county_va__county,51165,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,southampton_county_va__county,51175,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,spotsylvania_county_va__county,51177,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,stafford_county_va__county,51179,county,AVAILABLE_DIRECT
bea_gdp_ann,sussex_county_va__county,51183,county,AVAILABLE_DIRECT
bea_gdp_ann,warren_county_va__county,51187,county,AVAILABLE_DIRECT
bea_gdp_ann,wise_county_va__county,51195,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,york_county_va__county,51199,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,alexandria_va__county,51510,county,AVAILABLE_DIRECT
bea_gdp_ann,charlottesville_va__county,51540,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,chesapeake_va__county,51550,county,AVAILABLE_DIRECT
bea_gdp_ann,colonial_heights_va__county,51570,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,danville_va__county,51590,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,fairfax_city_county_va__county,51600,county,PROVIDER_UNAVAILABLE
bea_gdp_ann,falls_church_va__county,51610,county,PROVIDER_UNAVAILABLE
