geo_id,series_id,metric_base,seasonal,name,notes
prince_william_county_va,LAUCN511530000000005,laus_employment,NSA,"Employment (County, NSA)","Prince William County, VA"
prince_william_county_va,LAUCN511530000000006,laus_labor_force,NSA,"Labor Force (County, NSA)","Prince William County, VA"
arlington_county_va,LAUCN510130000000003,laus_unemployment_rate,NSA,"Unemployment Rate (County, NSA)","Arlington County, VA"
arlington_county_va,LAUCN510130000000004,laus_unemployment,NSA,"Unemployment (County, NSA)","Arlington County, VA"
arlington_county_va,LAUCN510130000000005,laus_employment,NSA,"Employment (County, NSA)","Arlington County, VA"
arlington_county_va,LAUCN510130000000006,laus_labor_force,NSA,"Labor Force (County, NSA)","Arlington County, VA"
alexandria_city,LAUCN515100000000003,laus_unemployment_rate,NSA,"Unemployment Rate (County, NSA)","Alexandria city, VA"
alexandria_city,LAUCN515100000000004,laus_unemployment,NSA,"Unemployment (County, NSA)","Alexandria city, VA"
alexandria_city,LAUCN515100000000005,laus_employment,NSA,"Employment (County, NSA)","Alexandria city, VA"
alexandria_city,LAUCN515100000000006,laus_labor_force,NSA,"Labor Force (County, NSA)","Alexandria city, VA"
dc_county,LAUCN110010000000003,laus_unemployment_rate,NSA,"Unemployment Rate (County, NSA)",District of Columbia
dc_county,LAUCN110010000000004,laus_unemployment,NSA,"Unemployment (County, NSA)",District of Columbia
dc_county,LAUCN110010000000005,laus_employment,NSA,"Employment (County, NSA)",District of Columbia
dc_county,LAUCN110010000000006,laus_labor_force,NSA,"Labor Force (County, NSA)",District of Columbia
baltimore_county,LAUCN240050000000003,laus_unemployment_rate,NSA,"Unemployment Rate (County, NSA)","Baltimore County, MD"
baltimore_county,LAUCN240050000000004,laus_unemployment,NSA,"Unemployment (County, NSA)","Baltimore County, MD"
baltimore_county,LAUCN240050000000005,laus_employment,NSA,"Employment (County, NSA)","Baltimore County, MD"
baltimore_county,LAUCN240050000000006,laus_labor_force,NSA,"Labor Force (County, NSA)","Baltimore County, MD"
baltimore_city_county,LAUCN245100000000003,laus_unemployment_rate,NSA,"Unemployment Rate (County, NSA)","Baltimore city, MD"
baltimore_city_county,LAUCN245100000000004,laus_unemployment,NSA,"Unemployment (County, NSA)","Baltimore city, MD"
baltimore_city_county,LAUCN245100000000005,laus_employment,NSA,"Employment (County, NSA)","Baltimore city, MD"
baltimore_city_county,LAUCN245100000000006,laus_labor_force,NSA,"Labor Force (County, NSA)","Baltimore city, MD"
dc_city,LAUCT115000000000003,laus_unemployment_rate,NSA,"Unemployment Rate (City, NSA)","Washington city, DC"
dc_city,LAUCT115000000000004,laus_unemployment,NSA,"Unemployment (City, NSA)","Washington city, DC"
dc_city,LAUCT115000000000005,laus_employment,NSA,"Employment (City, NSA)","Washington city, DC"
dc_city,LAUCT115000000000006,laus_labor_force,NSA,"Labor Force (City, NSA)","Washington city, DC"
baltimore_city,LAUCT240400000000003,laus_unemployment_rate,NSA,"Unemployment Rate (City, NSA)","Baltimore city, MD"
baltimore_city,LAUCT240400000000004,laus_unemployment,NSA,"Unemployment (City, NSA)","Baltimore city, MD"
baltimore_city,LAUCT240400000000005,laus_employment,NSA,"Employment (City, NSA)","Baltimore city, MD"
baltimore_city,LAUCT240400000000006,laus_labor_force,NSA,"Labor Force (City, NSA)","Baltimore city, MD"
bowie_city,LAUCT240877500000003,laus_unemployment_rate,NSA,"Unemployment Rate (City, NSA)","Bowie city, MD"
bowie_city,LAUCT240877500000004,laus_unemployment,NSA,"Unemployment (City, NSA)","Bowie city, MD"
bowie_city,LAUCT240877500000005,laus_employment,NSA,"Employment (City, NSA)","Bowie city, MD"
bowie_city,LAUCT240877500000006,laus_labor_force,NSA,"Labor Force (City, NSA)","Bowie city, MD"
rockville_city,LAUCT246767500000003,laus_unemployment_rate,NSA,"Unemployment Rate (City, NSA)","Rockville city, MD"
rockville_city,LAUCT246767500000004,laus_unemployment,NSA,"Unemployment (City, NSA)","Rockville city, MD"
rockville_city,LAUCT246767500000005,laus_employment,NSA,"Employment (City, NSA)","Rockville city, MD"
rockville_city,LAUCT246767500000006,laus_labor_force,NSA,"Labor Force (City, NSA)","Rockville city, MD"
alexandria_city,LAUCT510100000000003,laus_unemployment_rate,NSA,"Unemployment Rate (City, NSA)","Alexandria city, VA"
alexandria_city,LAUCT510100000000004,laus_unemployment,NSA,"Unemployment (City, NSA)","Alexandria city, VA"
alexandria_city,LAUCT510100000000005,laus_employment,NSA,"Employment (City, NSA)","Alexandria city, VA"
alexandria_city,LAUCT510100000000006,laus_labor_force,NSA,"Labor Force (City, NSA)","Alexandria city, VA"
