geo_name,geo_level,redfin_code,state_code,include,notes
"20306, District of Columbia, DC",zip,7960,DC,1,"Generated from Redfin local context hierarchy; zip5=20306; state_code=DC; county=District of Columbia, DC; redfin_table_id=7960; parent_county_table_id=436"
"20391, District of Columbia, DC",zip,7981,DC,1,"Generated from Redfin local context hierarchy; zip5=20391; state_code=DC; county=District of Columbia, DC; redfin_table_id=7981; parent_county_table_id=436"
"20398, District of Columbia, DC",zip,7986,DC,1,"Generated from Redfin local context hierarchy; zip5=20398; state_code=DC; county=District of Columbia, DC; redfin_table_id=7986; parent_county_table_id=436"
"20422, District of Columbia, DC",zip,8007,DC,1,"Generated from Redfin local context hierarchy; zip5=20422; state_code=DC; county=District of Columbia, DC; redfin_table_id=8007; parent_county_table_id=436"
"20515, District of Columbia, DC",zip,8048,DC,1,"Generated from Redfin local context hierarchy; zip5=20515; state_code=DC; county=District of Columbia, DC; redfin_table_id=8048; parent_county_table_id=436"
"20529, District of Columbia, DC",zip,8058,DC,1,"Generated from Redfin local context hierarchy; zip5=20529; state_code=DC; county=District of Columbia, DC; redfin_table_id=8058; parent_county_table_id=436"
"20560, District of Columbia, DC",zip,8086,DC,1,"Generated from Redfin local context hierarchy; zip5=20560; state_code=DC; county=District of Columbia, DC; redfin_table_id=8086; parent_county_table_id=436"
"20593, District of Columbia, DC",zip,8104,DC,1,"Generated from Redfin local context hierarchy; zip5=20593; state_code=DC; county=District of Columbia, DC; redfin_table_id=8104; parent_county_table_id=436"
"20601, Prince George's County, MD",zip,8108,MD,1,"Generated from Redfin local context hierarchy; zip5=20601; state_code=MD; county=Prince George's County, MD; redfin_table_id=8108; parent_county_table_id=1325"
"20607, Prince George's County, MD",zip,8113,MD,1,"Generated from Redfin local context hierarchy; zip5=20607; state_code=MD; county=Prince George's County, MD; redfin_table_id=8113; parent_county_table_id=1325"
"20608, Prince George's County, MD",zip,8114,MD,1,"Generated from Redfin local context hierarchy; zip5=20608; state_code=MD; county=Prince George's County, MD; redfin_table_id=8114; parent_county_table_id=1325"
"20613, Prince George's County, MD",zip,8119,MD,1,"Generated from Redfin local context hierarchy; zip5=20613; state_code=MD; county=Prince George's County, MD; redfin_table_id=8119; parent_county_table_id=1325"
"20616, Prince George's County, MD",zip,8121,MD,1,"Generated from Redfin local context hierarchy; zip5=20616; state_code=MD; county=Prince George's County, MD; redfin_table_id=8121; parent_county_table_id=1325"
"20623, Prince George's County, MD",zip,8128,MD,1,"Generated from Redfin local context hierarchy; zip5=20623; state_code=MD; county=Prince George's County, MD; redfin_table_id=8128; parent_county_table_id=1325"
"20703, Prince George's County, MD",zip,8177,MD,1,"Generated from Redfin local context hierarchy; zip5=20703; state_code=MD; county=Prince George's County, MD; redfin_table_id=8177; parent_county_table_id=1325"
"20704, Prince George's County, MD",zip,8178,MD,1,"Generated from Redfin local context hierarchy; zip5=20704; state_code=MD; county=Prince George's County, MD; redfin_table_id=8178; parent_county_table_id=1325"
"20705, Prince George's County, MD",zip,8179,MD,1,"Generated from Redfin local context hierarchy; zip5=20705; state_code=MD; county=Prince George's County, MD; redfin_table_id=8179; parent_county_table_id=1325"
"20706, Prince George's County, MD",zip,8180,MD,1,"Generated from Redfin local context hierarchy; zip5=20706; state_code=MD; county=Prince George's County, MD; redfin_table_id=8180; parent_county_table_id=1325"
"20707, Prince George's County, MD",zip,8181,MD,1,"Generated from Redfin local context hierarchy; zip5=20707; state_code=MD; county=Prince George's County, MD; redfin_table_id=8181; parent_county_table_id=1325"
"20708, Prince George's County, MD",zip,8182,MD,1,"Generated from Redfin local context hierarchy; zip5=20708; state_code=MD; county=Prince George's County, MD; redfin_table_id=8182; parent_county_table_id=1325"
"20710, Prince George's County, MD",zip,8184,MD,1,"Generated from Redfin local context hierarchy; zip5=20710; state_code=MD; county=Prince George's County, MD; redfin_table_id=8184; parent_county_table_id=1325"
"20712, Prince George's County, MD",zip,8186,MD,1,"Generated from Redfin local context hierarchy; zip5=20712; state_code=MD; county=Prince George's County, MD; redfin_table_id=8186; parent_county_table_id=1325"
"20715, Prince George's County, MD",zip,8188,MD,1,"Generated from Redfin local context hierarchy; zip5=20715; state_code=MD; county=Prince George's County, MD; redfin_table_id=8188; parent_county_table_id=1325"
"20716, Prince George's County, MD",zip,8189,MD,1,"Generated from Redfin local context hierarchy; zip5=20716; state_code=MD; county=Prince George's County, MD; redfin_table_id=8189; parent_county_table_id=1325"
"20717, Prince George's County, MD",zip,8190,MD,1,"Generated from Redfin local context hierarchy; zip5=20717; state_code=MD; county=Prince George's County, MD; redfin_table_id=8190; parent_county_table_id=1325"
"20720, Prince George's County, MD",zip,8193,MD,1,"Generated from Redfin local context hierarchy; zip5=20720; state_code=MD; county=Prince George's County, MD; redfin_table_id=8193; parent_county_table_id=1325"
"20721, Prince George's County, MD",zip,8194,MD,1,"Generated from Redfin local context hierarchy; zip5=20721; state_code=MD; county=Prince George's County, MD; redfin_table_id=8194; parent_county_table_id=1325"
"20722, Prince George's County, MD",zip,8195,MD,1,"Generated from Redfin local context hierarchy; zip5=20722; state_code=MD; county=Prince George's County, MD; redfin_table_id=8195; parent_county_table_id=1325"
"20731, Prince George's County, MD",zip,8200,MD,1,"Generated from Redfin local context hierarchy; zip5=20731; state_code=MD; county=Prince George's County, MD; redfin_table_id=8200; parent_county_table_id=1325"
"20735, Prince George's County, MD",zip,8203,MD,1,"Generated from Redfin local context hierarchy; zip5=20735; state_code=MD; county=Prince George's County, MD; redfin_table_id=8203; parent_county_table_id=1325"
"20737, Prince George's County, MD",zip,8205,MD,1,"Generated from Redfin local context hierarchy; zip5=20737; state_code=MD; county=Prince George's County, MD; redfin_table_id=8205; parent_county_table_id=1325"
"20740, Prince George's County, MD",zip,8207,MD,1,"Generated from Redfin local context hierarchy; zip5=20740; state_code=MD; county=Prince George's County, MD; redfin_table_id=8207; parent_county_table_id=1325"
"20741, Prince George's County, MD",zip,8208,MD,1,"Generated from Redfin local context hierarchy; zip5=20741; state_code=MD; county=Prince George's County, MD; redfin_table_id=8208; parent_county_table_id=1325"
"20743, Prince George's County, MD",zip,8210,MD,1,"Generated from Redfin local context hierarchy; zip5=20743; state_code=MD; county=Prince George's County, MD; redfin_table_id=8210; parent_county_table_id=1325"
"20744, Prince George's County, MD",zip,8211,MD,1,"Generated from Redfin local context hierarchy; zip5=20744; state_code=MD; county=Prince George's County, MD; redfin_table_id=8211; parent_county_table_id=1325"
"20745, Prince George's County, MD",zip,8212,MD,1,"Generated from Redfin local context hierarchy; zip5=20745; state_code=MD; county=Prince George's County, MD; redfin_table_id=8212; parent_county_table_id=1325"
"20746, Prince George's County, MD",zip,8213,MD,1,"Generated from Redfin local context hierarchy; zip5=20746; state_code=MD; county=Prince George's County, MD; redfin_table_id=8213; parent_county_table_id=1325"
