geo_id,provider_geo_fips,geo_level,availability
ocean_county_nj__county,34029,county,AVAILABLE_DIRECT
orange_county_ca__county,06059,county,AVAILABLE_DIRECT
petersburg_va__county,51730,county,PROVIDER_UNAVAILABLE
pittsylvania_county_va__county,51143,county,PROVIDER_UNAVAILABLE
placer_county_ca__county,06061,county,AVAILABLE_DIRECT
poquoson_va__county,51735,county,PROVIDER_UNAVAILABLE
portsmouth_va__county,51740,county,AVAILABLE_DIRECT
powhatan_county_va__county,51145,county,AVAILABLE_DIRECT
prince_george_county_va__county,51149,county,PROVIDER_UNAVAILABLE
prince_george_s_county_md__county,24033,county,AVAILABLE_DIRECT
prince_william_county_va__county,51153,county,PROVIDER_UNAVAILABLE
pulaski_county_va__county,51155,county,AVAILABLE_DIRECT
queen_anne_s_county_md__county,24035,county,AVAILABLE_DIRECT
radford_va__county,51750,county,PROVIDER_UNAVAILABLE
rappahannock_county_va__county,51157,county,AVAILABLE_DIRECT
richmond_city_county_va__county,51760,county,AVAILABLE_DIRECT
riverside_county_ca__county,06065,county,AVAILABLE_DIRECT
roanoke_city_county_va__county,51770,county,AVAILABLE_DIRECT
roanoke_county_va__county,51161,county,PROVIDER_UNAVAILABLE
rockingham_county_va__county,51165,county,PROVIDER_UNAVAILABLE
sacramento_county_ca__county,06067,county,AVAILABLE_DIRECT
salem_va__county,51775,county,PROVIDER_UNAVAILABLE
san_benito_county_ca__county,06069,county,AVAILABLE_DIRECT
san_bernardino_county_ca__county,06071,county,AVAILABLE_DIRECT
san_diego_county_ca__county,06073,county,AVAILABLE_DIRECT
san_francisco_county_ca__county,06075,county,AVAILABLE_DIRECT
san_joaquin_county_ca__county,06077,county,AVAILABLE_DIRECT
san_luis_obispo_county_ca__county,06079,county,AVAILABLE_DIRECT
san_mateo_county_ca__county,06081,county,AVAILABLE_DIRECT
santa_barbara_county_ca__county,06083,county,AVAILABLE_DIRECT
santa_clara_county_ca__county,06085,county,AVAILABLE_DIRECT
santa_cruz_county_ca__county,06087,county,AVAILABLE_DIRECT
shasta_county_ca__county,06089,county,AVAILABLE_DIRECT
solano_county_ca__county,06095,county,AVAILABLE_DIRECT
somerset_county_nj__county,34035,county,AVAILABLE_DIRECT
sonoma_county_ca__county,06097,county,AVAILABLE_DIRECT
southampton_county_va__county,51175,county,PROVIDER_UNAVAILABLE
spotsylvania_county_va__county,51177,county,PROVIDER_UNAVAILABLE
st_mary_s_county_md__county,24037,county,AVAILABLE_DIRECT
stafford_county_va__county,51179,county,AVAILABLE_DIRECT
stanislaus_county_ca__county,06099,county,AVAILABLE_DIRECT
staunton_va__county,51790,county,PROVIDER_UNAVAILABLE
suffolk_va__county,51800,county,AVAILABLE_DIRECT
sussex_county_nj__county,34037,county,AVAILABLE_DIRECT
sussex_county_va__county,51183,county,AVAILABLE_DIRECT
sutter_county_ca__county,06101,county,AVAILABLE_DIRECT
talbot_county_md__county,24041,county,AVAILABLE_DIRECT
tehama_county_ca__county,06103,county,AVAILABLE_DIRECT
tulare_county_ca__county,06107,county,AVAILABLE_DIRECT
tuolumne_county_ca__county,06109,county,AVAILABLE_DIRECT
union_county_nj__county,34039,county,AVAILABLE_DIRECT
united_states__nation,00000,nation,AVAILABLE_DIRECT
ventura_county_ca__county,06111,county,AVAILABLE_DIRECT
virginia__state,51000,state,AVAILABLE_DIRECT
virginia_beach_va__county,51810,county,AVAILABLE_DIRECT
warren_county_va__county,51187,county,AVAILABLE_DIRECT
washington_county_md__county,24043,county,AVAILABLE_DIRECT
waynesboro_va__county,51820,county,PROVIDER_UNAVAILABLE
williamsburg_va__county,51830,county,PROVIDER_UNAVAILABLE
winchester_va__county,51840,county,PROVIDER_UNAVAILABLE
wise_county_va__county,51195,county,PROVIDER_UNAVAILABLE
yolo_county_ca__county,06113,county,AVAILABLE_DIRECT
york_county_va__county,51199,county,PROVIDER_UNAVAILABLE
yuba_county_ca__county,06115,county,AVAILABLE_DIRECT
