geo_id,level,provider_location_type,provider_identifier,metric_id,provider_measure,unit,scale_transform,seasonal_adjustment,classification
howard_county_md__county,county,County,24027,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
montgomery_county_md__county,county,County,24031,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
prince_george_s_county_md__county,county,County,24033,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
queen_anne_s_county_md__county,county,County,24035,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
st_mary_s_county_md__county,county,County,24037,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
talbot_county_md__county,county,County,24041,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
washington_county_md__county,county,County,24043,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
baltimore_city_county_md__county,county,County,24510,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
atlantic_county_nj__county,county,County,34001,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
burlington_county_nj__county,county,County,34005,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
camden_county_nj__county,county,County,34007,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
cape_may_county_nj__county,county,County,34009,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
cumberland_county_nj__county,county,County,34011,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
essex_county_nj__county,county,County,34013,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
gloucester_county_nj__county,county,County,34015,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
hunterdon_county_nj__county,county,County,34019,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
mercer_county_nj__county,county,County,34021,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
middlesex_county_nj__county,county,County,34023,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
