candidate_id,run_role,geo_id,canonical_metric_key,feature_component,feature_origin,series_variant,calendar_month,calendar_month_observation_count,calendar_month_mean_absolute_change,series_family,comparison_pair,dimension,axis
price_family_ma6_structural_linked,baseline,alameda_county_ca__county,median_ppsf,long,normalized_feature,normalized_score,9,10,0.12084985513418603,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,baseline,alameda_county_ca__county,median_ppsf,long,normalized_feature,normalized_score,10,10,0.22451123224497396,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,baseline,alameda_county_ca__county,median_ppsf,long,normalized_feature,normalized_score,11,10,0.10012271852857738,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,baseline,alameda_county_ca__county,median_ppsf,long,normalized_feature,normalized_score,12,11,0.07009997662293091,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_ppsf,long,normalized_feature,normalized_score,1,10,0.10359050927806109,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_ppsf,long,normalized_feature,normalized_score,2,10,0.05556890621145496,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_ppsf,long,normalized_feature,normalized_score,3,10,0.03731409475839267,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_ppsf,long,normalized_feature,normalized_score,4,10,0.07691030400367493,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_ppsf,long,normalized_feature,normalized_score,5,11,0.06393763502826658,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_ppsf,long,normalized_feature,normalized_score,6,10,0.08026089167741832,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_ppsf,long,normalized_feature,normalized_score,7,10,0.05648386452848746,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_ppsf,long,normalized_feature,normalized_score,8,10,0.09013644977981171,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_ppsf,long,normalized_feature,normalized_score,9,10,0.056367693108445215,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_ppsf,long,normalized_feature,normalized_score,10,10,0.11219736054118316,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_ppsf,long,normalized_feature,normalized_score,11,10,0.09095494346106182,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_ppsf,long,normalized_feature,normalized_score,12,10,0.08614028638664221,normalized_feature,baseline_vs_challenger,,
