candidate_id,run_role,geo_id,canonical_metric_key,rows,first_date,last_date,mean_value,value_std,mean_absolute_change_1m,p90_absolute_change_1m,maximum_absolute_change_1m,sign_flip_rate,near_zero_rate,overlap_rows,baseline_challenger_correlation,mean_absolute_baseline_challenger_difference
price_family_ma6_structural_linked,baseline,alameda_county_ca__county,median_ppsf,138,2014-12-31,2026-05-31,-0.020190325471672863,0.39616405996092163,0.2745778396966519,0.5757287847380711,0.9720000000000001,0.2826086956521739,0.16666666666666666,133,0.5165850442769008,0.3200276747893578
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_ppsf,133,2015-05-31,2026-05-31,-0.06690758368405351,0.4239460252284733,0.1092350677457949,0.223088619284527,0.5641001245707128,0.11278195488721804,0.18796992481203006,133,0.5165850442769008,0.3200276747893578
price_family_ma6_structural_linked,baseline,alameda_county_ca__county,median_sale_price,138,2014-12-31,2026-05-31,0.003980015536889599,0.4025508623481052,0.3306348971089179,0.685060730289817,1.3286666666666667,0.4057971014492754,0.15217391304347827,133,0.4026460527086871,0.35185512562175564
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_sale_price,133,2015-05-31,2026-05-31,-0.023250588433139555,0.41870814057240713,0.12368195132096875,0.2772366950496044,0.47676391441097327,0.11278195488721804,0.23308270676691728,133,0.4026460527086871,0.35185512562175564
price_family_ma6_structural_linked,baseline,alameda_county_ca__county,payment_burden,127,2015-11-30,2026-05-31,-0.2028253273524929,0.4751497190158982,0.2381362213386464,0.4992922122188187,1.2298321226132778,0.12598425196850394,0.09448818897637795,127,0.854042284846772,0.20435253406788498
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,payment_burden,127,2015-11-30,2026-05-31,-0.23330850957181207,0.4773166790557587,0.11702794785145322,0.2966666666666665,0.5929567508514877,0.11023622047244094,0.13385826771653545,127,0.854042284846772,0.20435253406788498
price_family_ma6_structural_linked,baseline,alameda_county_ca__county,price_to_income,127,2015-11-30,2026-05-31,-0.10491279704098085,0.4798308756267424,0.2790874634971916,0.5503840750124029,1.2467216184921353,0.25196850393700787,0.18110236220472442,127,0.7588213491091345,0.27400176384511116
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,price_to_income,127,2015-11-30,2026-05-31,-0.12935269893612425,0.4701180561406205,0.12802577184715597,0.2883796366740702,0.7083333333333335,0.10236220472440945,0.11023622047244094,127,0.7588213491091345,0.27400176384511116
price_family_ma6_structural_linked,baseline,district_of_columbia_dc__county,median_ppsf,138,2014-12-31,2026-05-31,0.0066347245728518,0.42496610730048096,0.4725209444327296,0.9517014844804319,1.4953333333333334,0.5652173913043478,0.15942028985507245,133,0.44851148953590086,0.35063852155972686
price_family_ma6_structural_linked,challenger,district_of_columbia_dc__county,median_ppsf,133,2015-05-31,2026-05-31,-0.017060020870424696,0.4302091735383485,0.13433405904230922,0.2744295133016224,0.5196005562796788,0.11278195488721804,0.15789473684210525,133,0.44851148953590086,0.35063852155972686
price_family_ma6_structural_linked,baseline,district_of_columbia_dc__county,median_sale_price,138,2014-12-31,2026-05-31,0.08184421737739825,0.4466700860498027,0.5349538966584182,0.974690657000331,1.6686666666666667,0.5362318840579711,0.16666666666666666,133,0.3321690739606139,0.3848257320631428
price_family_ma6_structural_linked,challenger,district_of_columbia_dc__county,median_sale_price,133,2015-05-31,2026-05-31,0.054976193621944475,0.4009212763654541,0.17068579353858157,0.3450937365827455,0.7066666666666666,0.16541353383458646,0.17293233082706766,133,0.3321690739606139,0.3848257320631428
price_family_ma6_structural_linked,baseline,district_of_columbia_dc__county,payment_burden,127,2015-11-30,2026-05-31,-0.07472193568964038,0.5011511633533328,0.368120832254225,0.7431617376164086,1.146,0.28346456692913385,0.09448818897637795,127,0.8186225828643072,0.23973549230106822
price_family_ma6_structural_linked,challenger,district_of_columbia_dc__county,payment_burden,127,2015-11-30,2026-05-31,-0.07404089182330899,0.48831082569749495,0.13853805677305597,0.281830509879616,0.7578128956202993,0.11023622047244094,0.1732283464566929,127,0.8186225828643072,0.23973549230106822
price_family_ma6_structural_linked,baseline,district_of_columbia_dc__county,price_to_income,127,2015-11-30,2026-05-31,0.13552277603787077,0.49207635163952906,0.4396433993380961,0.9588057695913195,1.3993313160930516,0.4251968503937008,0.14173228346456693,127,0.6984138199159704,0.2977729836292963
price_family_ma6_structural_linked,challenger,district_of_columbia_dc__county,price_to_income,127,2015-11-30,2026-05-31,0.14780137760703566,0.5009130205305912,0.14932963790112264,0.27947520304771345,1.0165165165165164,0.07086614173228346,0.09448818897637795,127,0.6984138199159704,0.2977729836292963
