date,demand_axis,price_score,affordability_score,candidate_id,candidate_label,geo_id,weighted_price_contribution,weighted_affordability_contribution,price_affordability_net,price_affordability_gross,cancellation_amount,cancellation_rate,material_cancellation
2015-11-30,0.3767650183752783,0.5303703703703703,-0.98,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,0.07955555555555553,-0.098,-0.01844444444444447,0.17755555555555552,0.15911111111111104,0.8961201501877344,True
2015-12-31,0.3770486574596068,0.1464864864864865,-0.7297297297297297,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,0.021972972972972973,-0.07297297297297298,-0.051000000000000004,0.09494594594594595,0.04394594594594595,0.4628522630230572,False
2016-01-31,0.4632539080874004,-0.134270432178006,-0.6052631578947368,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,-0.0201405648267009,-0.060526315789473685,-0.08066688061617458,0.08066688061617458,0.0,0.0,False
2016-02-29,0.5272411529248717,-0.275006105006105,-0.0653235653235653,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,-0.04125091575091575,-0.00653235653235653,-0.04778327228327228,0.04778327228327228,0.0,0.0,False
2016-03-31,0.4202630295714907,-0.2510077519379845,-0.1438223938223938,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,-0.037651162790697676,-0.014382239382239382,-0.05203340217293706,0.05203340217293706,0.0,0.0,False
2016-04-30,0.3853772025011946,-0.1729563932002956,-0.1481753163396295,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,-0.02594345898004434,-0.01481753163396295,-0.040760990614007286,0.040760990614007286,0.0,0.0,False
2016-05-31,0.5239969471634854,0.025079365079365,-0.3615907901622188,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,0.0037619047619047497,-0.03615907901622188,-0.03239717425431713,0.03992098377812663,0.007523809523809502,0.1884675379150331,False
2016-06-30,0.4026558761348091,0.1251162790697674,-0.4388704318936877,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,0.01876744186046511,-0.04388704318936877,-0.02511960132890366,0.06265448504983388,0.03753488372093022,0.5990773635929794,False
2016-07-31,0.5211093699059363,0.1296969696969696,-0.412733607855559,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,0.019454545454545436,-0.04127336078555591,-0.02181881533101047,0.06072790624010134,0.038909090909090865,0.6407118789054753,False
2016-08-31,0.328815564580843,-0.3506666666666667,-0.4399092970521541,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,-0.0526,-0.04399092970521541,-0.0965909297052154,0.0965909297052154,0.0,0.0,False
2016-09-30,0.431922784041749,-0.3823783783783784,-0.4482160912899032,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,-0.057356756756756756,-0.044821609128990324,-0.10217836588574708,0.10217836588574708,0.0,0.0,False
2016-10-31,0.3126729120384949,-0.4042239641657336,-0.5298424979276043,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,-0.06063359462486004,-0.05298424979276043,-0.11361784441762046,0.11361784441762046,0.0,0.0,False
2016-11-30,0.3592245293233288,-0.3584871794871794,-0.3256944444444444,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,-0.05377307692307691,-0.03256944444444444,-0.08634252136752135,0.08634252136752135,0.0,0.0,False
2016-12-31,0.2360064299435304,-0.40625431711146,0.0780570277464687,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,-0.060938147566718996,0.0078057027746468695,-0.053132444792072124,0.06874385034136586,0.015611405549293737,0.22709530338744707,False
