date,demand_axis,price_score,affordability_score,candidate_id,candidate_label,geo_id,weighted_price_contribution,weighted_affordability_contribution,price_affordability_net,price_affordability_gross,cancellation_amount,cancellation_rate,material_cancellation
2015-11-30,0.3767650183752783,0.5303703703703703,-0.98,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,0.07955555555555553,-0.098,-0.01844444444444447,0.17755555555555552,0.15911111111111104,0.8961201501877344,True
2018-05-31,0.3045034112391418,0.3656969696969697,-0.6097186147186148,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,0.054854545454545454,-0.06097186147186148,-0.006117316017316028,0.11582640692640694,0.10970909090909092,0.9471854805855905,True
2018-06-30,0.1884353632303676,0.5695460627895008,-0.7120047489823609,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,0.08543190941842511,-0.0712004748982361,0.014231434520189018,0.1566323843166612,0.1424009497964722,0.909141174206877,True
2018-07-31,0.3017902082273855,0.5257108673978066,-0.6858985132514545,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,0.07885663010967099,-0.06858985132514545,0.010266778784525546,0.14744648143481642,0.1371797026502909,0.9303694555162084,True
2018-08-31,0.1216733194463079,0.3765797101449275,-0.6700637958532696,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,0.05648695652173913,-0.06700637958532696,-0.01051942306358783,0.12349333610706609,0.11297391304347826,0.9148178890036001,True
2019-12-31,0.1231869795258804,-0.4219729805797917,0.6310194375110553,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,-0.06329594708696876,0.06310194375110553,-0.00019400333586322427,0.1263978908380743,0.12620388750221107,0.9984651378707596,True
2020-01-31,-4.230626870553589e-05,-0.5087311956400015,0.6710207265264704,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,-0.07630967934600022,0.06710207265264705,-0.009207606693353174,0.14341175199864725,0.13420414530529406,0.9357960099850112,True
2020-02-29,0.206970822932331,-0.5415443560271147,0.7214220032840724,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,-0.0812316534040672,0.07214220032840724,-0.009089453075659962,0.15337385373247442,0.14428440065681447,0.9407366193489901,True
2020-03-31,-0.1109670729320017,-0.497453812010774,0.6518181818181819,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,-0.0746180718016161,0.06518181818181819,-0.009436253619797913,0.1397998899834343,0.13036363636363638,0.9325017092580253,True
2020-04-30,-0.1476696767493413,-0.3801636541279921,0.5978732790595869,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,-0.05702454811919881,0.05978732790595869,0.0027627797867598794,0.1168118760251575,0.11404909623839762,0.9763484683169984,True
2021-04-30,-0.0785566049678647,0.5418458889367197,-0.650222369290357,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,0.08127688334050795,-0.0650222369290357,0.016254646411472243,0.14629912026954367,0.13004447385807144,0.8888944350347122,True
2021-05-31,0.1333796259518279,0.7595673624288425,-0.7437938205585264,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,0.11393510436432637,-0.07437938205585264,0.039555722308473734,0.188314486420179,0.14875876411170527,0.7899485957749711,True
2021-06-30,-0.0248670346383498,0.7952976657715348,-0.7954675130694548,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,0.11929464986573021,-0.0795467513069455,0.03974789855878472,0.1988414011726757,0.159093502613891,0.8001025021732407,True
2021-07-31,0.1093293470142068,0.8019109311740891,-0.7936502036491274,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,0.12028663967611336,-0.07936502036491275,0.04092161931120061,0.1996516600410261,0.1587300407298255,0.7950349157988884,True
2021-08-31,0.0017133409478518,0.8045714285714287,-0.8209962049335863,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,0.1206857142857143,-0.08209962049335863,0.03858609379235567,0.20278533477907293,0.16419924098671726,0.8097195054346815,True
2021-09-30,0.0492626435161558,0.7913705504765611,-0.8428208930791627,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,0.11870558257148417,-0.08428208930791628,0.03442349326356789,0.20298767187940045,0.16856417861583256,0.8304158427708868,True
2021-10-31,-0.0027753689747114,0.7824962807552929,-0.899533467024859,price_family_ma9_structural_linked,MA9,alameda_county_ca__county,0.11737444211329393,-0.0899533467024859,0.02742109541080802,0.20732778881577985,0.17990669340497184,0.8677403759166462,True
