geo_id,dimension,observations,mean_share_of_absolute_change,median_share_of_absolute_change,p75_share_of_absolute_change,p90_share_of_absolute_change,dominant_month_count
alameda_county_ca__county,demand,128,0.6529011095978471,0.7358535881175629,0.8387793319368102,0.8915985154656509,97
alameda_county_ca__county,capital_markets,128,0.14057650147176548,0.0969157135650136,0.18682063529367154,0.28214223649496073,3
alameda_county_ca__county,price,128,0.11055596647347994,0.06207879678124633,0.14663316767766973,0.2898741128779722,3
alameda_county_ca__county,affordability,128,0.09596642245690748,0.06120624856815797,0.11442031666208852,0.2164311521571439,2
district_of_columbia_dc__county,demand,128,0.5579271246008952,0.5989475747072599,0.7975080735064777,0.861576615588904,79
district_of_columbia_dc__county,price,128,0.1742432403974178,0.13737137766772362,0.2713124540376307,0.3843728060147384,5
district_of_columbia_dc__county,capital_markets,128,0.15755764155896002,0.104730037891859,0.2108940565041567,0.36151902819439863,6
district_of_columbia_dc__county,affordability,128,0.11027199344272702,0.06970636341451633,0.12054187924080004,0.24178851012986904,4
