geo_id,rows_total,rows_compared,first_compared_date,last_compared_date,mean_residual,mean_absolute_residual,max_absolute_residual
alameda_county_ca__county,129,128,2015-12-31,2026-07-31,-1.6263032587282567e-19,8.356488244432025e-17,3.0531133177191805e-16
district_of_columbia_dc__county,129,128,2015-12-31,2026-07-31,-1.3417001884508117e-18,9.57079467761579e-17,4.163336342344337e-16
