geo_id,dimension,observations,total_contribution_change,total_absolute_contribution_change,mean_absolute_contribution_change,mean_share_of_absolute_change,aligned_activity_total,opposing_activity_total
alameda_county_ca__county,demand,128,-0.4802500764869341,11.261739219594094,0.08798233765307886,0.6529011095978471,11.196826161930199,0.06491305766389413
alameda_county_ca__county,capital_markets,128,-0.0010180145008933904,1.6379320843934728,0.012796344409324006,0.14057650147176548,0.8631045483901778,0.774827536003295
alameda_county_ca__county,price,128,-0.22499999999999998,1.3564555076480125,0.010597308653500098,0.11055596647347994,0.7813819181798083,0.5750735894682043
alameda_county_ca__county,affordability,128,0.1109999999999999,1.2280430106233162,0.009594086020494658,0.09596642245690748,0.7443901948409346,0.4836528157823817
district_of_columbia_dc__county,demand,128,-0.28303041751253893,10.38703017253846,0.08114867322295671,0.5579271246008952,9.992160528477251,0.3948696440612068
district_of_columbia_dc__county,price,128,-0.19674999999999984,2.448325490264377,0.019127542892690447,0.1742432403974178,1.6399137202177279,0.8084117700466494
district_of_columbia_dc__county,capital_markets,128,-0.0010180145008933904,1.6379320843934728,0.012796344409324006,0.15755764155896002,1.0782990460400947,0.559633038353378
district_of_columbia_dc__county,affordability,128,0.04250000000000012,1.5171186197551323,0.011852489216836971,0.11027199344272702,0.9467759259104973,0.570342693844635
