geo_id,observations,first_change_date,last_change_date,mean_axis_change,mean_absolute_axis_change,axis_change_std,p90_absolute_axis_change,mean_gross_component_activity,mean_component_cancellation,mean_component_cancellation_rate,mean_net_to_gross_ratio,max_absolute_reconstruction_residual,mean_effective_component_count,median_effective_component_count,p90_effective_component_count
alameda_county_ca__county,128,2015-12-31,2026-07-31,-0.004650531960842403,0.0913065298783074,0.11028421262204896,0.16790749898127252,0.12097007673639762,0.02966354685809022,0.2797958733025589,0.7202041266974412,3.0531133177191805e-16,1.9306165764344896,1.6760105457085088,3.0430482248098234
district_of_columbia_dc__county,128,2015-12-31,2026-07-31,-0.003424206500104938,0.08846790683077896,0.11330077775862553,0.17709055367705506,0.12492504974180813,0.03645714291102919,0.33533378500532945,0.6646662149946705,4.163336342344337e-16,2.150445696660202,2.1638392608007946,3.038548790279355
