geo_id,metric,stage,observations,standard_deviation,range,mean_absolute_monthly_change,turning_points,zero_crossings,reversal_count,persistence,cancellation,correlation_to_raw_laus,standard_deviation_attenuation_relative_to_raw,range_attenuation_relative_to_raw,mean_absolute_monthly_change_attenuation_relative_to_raw,reversal_count_attenuation_relative_to_raw,zero_crossings_attenuation_relative_to_raw
district_of_columbia_dc__county,employment,Raw,240,28797.767979698572,96155.0,2880.100418410042,1,0,125,0.47478991596638653,0.0,0.9999999999999996,,,,,
district_of_columbia_dc__county,employment,MA3,240,28676.21187268573,89642.33333333331,1376.2050209205013,10,0,85,0.6428571428571428,0.0,0.9948353467130103,0.004221025292603761,0.06773092056228679,0.5221676952221567,0.32,
district_of_columbia_dc__county,employment,MA6,238,28532.615277332385,88328.23333333334,1019.3777777777782,6,0,64,0.728813559322034,0.0,0.9887061986968914,0.009207404634731098,0.08139739656457452,0.6460617236601336,0.488,
district_of_columbia_dc__county,employment,MA9,236,28374.264632091053,86968.44444444444,847.4640661938535,6,0,35,0.8504273504273504,0.0,0.9817034322164727,0.014706117081923636,0.09553903130940213,0.7057519033792248,0.72,
district_of_columbia_dc__county,labor_force,Raw,240,26851.609043969635,102161.0,3153.673640167364,3,0,121,0.4915966386554622,0.0,0.9999999999999997,,,,,
district_of_columbia_dc__county,labor_force,MA3,240,26726.538686920772,93456.0,1474.5878661087856,11,0,85,0.6428571428571428,0.0,0.9935734134913643,0.004657834725809501,0.08520864126232124,0.5324221735161758,0.2975206611570248,
district_of_columbia_dc__county,labor_force,MA6,238,26567.914622532717,90914.56666666671,957.1741912798877,9,0,60,0.7457627118644068,0.0,0.9893922906519311,0.010565267093393428,0.11008538809656611,0.6964891423485752,0.5041322314049587,
district_of_columbia_dc__county,labor_force,MA9,236,26404.39733294325,90160.44444444444,774.5312056737592,7,0,53,0.7735042735042735,0.0,0.9849971320513162,0.01665493156458799,0.11746709170383574,0.7544035007906984,0.5619834710743802,
district_of_columbia_dc__county,laus_unemployment_rate,Raw,240,1.74011473835777,6.800000000000001,0.3761506276150628,9,0,92,0.5779816513761468,0.0,1.0,,,,,
district_of_columbia_dc__county,laus_unemployment_rate,MA3,240,1.7016786781547968,6.533333333333333,0.22747559274755924,23,0,69,0.7025862068965517,0.0,0.973442460198462,0.022088233238715713,0.03921568627450992,0.39525398591027083,0.25,
district_of_columbia_dc__county,laus_unemployment_rate,MA6,238,1.671718997034948,6.033333333333332,0.12303797468354423,11,0,62,0.7256637168141593,0.0,0.9443061053641845,0.03930530545782881,0.11274509803921592,0.6729023809859058,0.32608695652173914,
district_of_columbia_dc__county,laus_unemployment_rate,MA9,236,1.6524130584711618,5.7888888888888905,0.1105023640661939,10,0,52,0.768888888888889,0.0,0.9159735528330829,0.05039994085066853,0.1486928104575162,0.7062284203357025,0.43478260869565216,
essex_county_nj__county,employment,Raw,239,25404.35671036318,81532.0,2454.063025210084,4,0,120,0.49367088607594933,0.0,1.0,,,,,
essex_county_nj__county,employment,MA3,239,25139.894149802527,77721.33333333331,1495.2787114845933,24,0,72,0.6949152542372881,0.0,0.9883042819746527,0.0104101262462895,0.04673829498438265,0.3906926203101131,0.4,
essex_county_nj__county,employment,MA6,237,24812.279062821508,75169.16666666663,1064.108333333332,10,0,61,0.7404255319148936,0.0,0.9710041176447708,0.023306146039909197,0.0780409328034805,0.5663891585497332,0.49166666666666664,
essex_county_nj__county,employment,MA9,235,24527.166613864178,73201.77777777775,863.2927350427356,13,0,56,0.759656652360515,0.0,0.9578158360915879,0.03452912059533357,0.10217119931097297,0.6482190040865671,0.5333333333333333,
essex_county_nj__county,labor_force,Raw,239,21388.82731400083,72657.0,2694.0798319327732,2,0,119,0.4978902953586498,0.0,0.9999999999999994,,,,,
essex_county_nj__county,labor_force,MA3,239,21187.533589919043,70233.66666666663,1425.3711484593816,22,0,88,0.6286919831223629,0.0,0.9885105170953857,0.009411162244973764,0.03335306072826255,0.4709246802694785,0.2605042016806723,
essex_county_nj__county,labor_force,MA6,237,20951.036321537802,67915.83333333331,870.4447033898293,13,0,69,0.7063829787234043,0.0,0.9800593174489404,0.020468209221384356,0.06525409343444796,0.6769046362054686,0.42016806722689076,
essex_county_nj__county,labor_force,MA9,235,20761.07908477615,66769.33333333337,677.1218542260201,13,0,69,0.703862660944206,0.0,0.9734404481681288,0.029349352351532007,0.08103371549426247,0.7486630328470101,0.42016806722689076,
essex_county_nj__county,laus_unemployment_rate,Raw,239,2.676622079370772,13.7,0.453361344537815,11,0,83,0.6121495327102804,0.0,1.0,,,,,
essex_county_nj__county,laus_unemployment_rate,MA3,239,2.604943634430605,12.700000000000001,0.30483193277310927,22,0,69,0.6933333333333334,0.0,0.965442225675209,0.026779441704753933,0.07299270072992688,0.32761816496756235,0.1686746987951807,
essex_county_nj__county,laus_unemployment_rate,MA6,237,2.5128715717915053,10.616666666666665,0.18759180790960453,8,0,42,0.8157894736842105,0.0,0.8984592094617706,0.06117804558264774,0.22506082725060833,0.5862201085960529,0.4939759036144578,
essex_county_nj__county,laus_unemployment_rate,MA9,235,2.4410509741278927,8.577777777777778,0.1652777777777778,15,0,50,0.7767857142857143,0.0,0.8533471754985685,0.08801059628793685,0.37388483373884834,0.6354391926681082,0.39759036144578314,
fairfax_county_va__county,employment,Raw,239,19800.468249630983,91777.0,3735.676470588235,6,0,104,0.5611814345991561,0.0,1.0,,,,,
fairfax_county_va__county,employment,MA3,239,19357.798691856304,81846.66666666674,2212.956582633049,26,0,64,0.729957805907173,0.0,0.9707837951279171,0.022356519663767522,0.10820067482411994,0.40761556841013385,0.38461538461538464,
fairfax_county_va__county,employment,MA6,237,18952.08305471911,68359.66666666674,1443.7220338983072,20,0,47,0.8,0.0,0.9340315942081615,0.04284672383582058,0.25515470470088647,0.6135312987446762,0.5480769230769231,
fairfax_county_va__county,employment,MA9,235,18621.246824074842,62890.44444444438,1104.7629307420953,17,0,50,0.7854077253218884,0.0,0.9040801365206809,0.05955522923444591,0.3147472194074291,0.7042669675920478,0.5192307692307693,
fairfax_county_va__county,labor_force,Raw,239,17531.466270059947,80289.0,3617.3193277310925,5,0,106,0.5527426160337553,0.0,0.9999999999999998,,,,,
fairfax_county_va__county,labor_force,MA3,239,17247.550767509194,74605.0,2088.4033613445404,27,0,64,0.729957805907173,0.0,0.9782382759641993,0.016194623893816647,0.07079425575109916,0.4226654679517998,0.39622641509433965,
fairfax_county_va__county,labor_force,MA6,237,16958.575046879003,69182.16666666663,1291.4219632768393,24,0,56,0.7617021276595745,0.0,0.9529756174253377,0.03267788411738966,0.13833567902618507,0.6429892286875143,0.4716981132075472,
fairfax_county_va__county,labor_force,MA9,235,16723.162665315867,66562.66666666663,869.9879510921176,18,0,48,0.7939914163090129,0.0,0.9347260659345324,0.04610587570330568,0.17096156800225898,0.7594937376906107,0.5471698113207547,
fairfax_county_va__county,laus_unemployment_rate,Raw,239,1.2830974584716588,8.5,0.2529411764705882,0,0,95,0.527363184079602,0.0,0.999999999999998,,,,,
fairfax_county_va__county,laus_unemployment_rate,MA3,239,1.2217876418840297,7.800000000000001,0.15203081232493,18,0,75,0.6621621621621622,0.0,0.9404025463884459,0.04778266544199795,0.0823529411764705,0.3989479512735326,0.21052631578947367,
fairfax_county_va__county,laus_unemployment_rate,MA6,237,1.1497064188822215,6.483333333333334,0.10245056497175145,5,0,54,0.7440758293838863,0.0,0.8307791542410472,0.10396017754436514,0.2372549019607842,0.5949628826698198,0.43157894736842106,
fairfax_county_va__county,laus_unemployment_rate,MA9,235,1.0888757462570666,5.233333333333333,0.08484093067426403,8,0,48,0.7808219178082192,0.0,0.7473967895253785,0.15136941541910331,0.38431372549019605,0.6645823671017469,0.49473684210526314,
los_angeles_county_ca__county,employment,Raw,240,219736.1229789734,1233358.0,30220.02092050209,6,0,136,0.4285714285714286,0.0,1.0,,,,,
los_angeles_county_ca__county,employment,MA3,240,215292.49851272025,1059453.3333333335,18657.525801952554,31,0,66,0.7226890756302521,0.0,0.9705357421989094,0.020222548782652203,0.14100096376450838,0.3826104273377661,0.5147058823529411,
los_angeles_county_ca__county,employment,MA6,238,208828.9792879011,925563.9999999995,13489.54880450071,9,0,53,0.7754237288135593,0.0,0.9154298839203001,0.04963746307709273,0.24955771154847212,0.5536221222352288,0.6102941176470589,
los_angeles_county_ca__county,employment,MA9,236,203254.46550141822,792381.666666667,11765.937943262397,12,0,43,0.8162393162393162,0.0,0.8723754976015696,0.07500659087869825,0.35754122755382706,0.6106575182653146,0.6838235294117647,
los_angeles_county_ca__county,labor_force,Raw,240,94162.20449733698,598967.0,25060.092050209205,1,0,139,0.4159663865546218,0.0,1.0,,,,,
los_angeles_county_ca__county,labor_force,MA3,240,90259.66232334604,448732.0,12821.580195257997,21,0,83,0.6512605042016807,0.0,0.9402407342567578,0.041444889643607534,0.25082350112777496,0.4883665961972809,0.4028776978417266,
los_angeles_county_ca__county,labor_force,MA6,238,86024.44353327692,417519.333333333,7925.409423347402,9,0,65,0.7245762711864407,0.0,0.8804906423067218,0.08642279572256831,0.3029343297154384,0.683743802398314,0.5323741007194245,
los_angeles_county_ca__county,labor_force,MA9,236,83276.82519700972,380050.83333333395,6264.032742316771,13,0,45,0.8076923076923077,0.0,0.8385687150275616,0.11560242624348403,0.36548952891672837,0.7500395158259414,0.6762589928057554,
los_angeles_county_ca__county,laus_unemployment_rate,Raw,240,3.2016163271068585,14.799999999999999,0.41924686192468613,11,0,96,0.5616438356164384,0.0,1.0,,,,,
los_angeles_county_ca__county,laus_unemployment_rate,MA3,240,3.1380045419081877,14.133333333333333,0.28898186889818694,23,0,59,0.7456896551724138,0.0,0.9736585062506865,0.019868647176769505,0.04504504504504501,0.3107119095143045,0.3854166666666667,
los_angeles_county_ca__county,laus_unemployment_rate,MA6,238,3.045657932902995,12.266666666666666,0.19813642756680738,13,0,36,0.8441558441558441,0.0,0.9165335323158775,0.048712393450590384,0.17117117117117117,0.527399139835659,0.625,
los_angeles_county_ca__county,laus_unemployment_rate,MA9,236,2.966694202516112,10.199999999999998,0.17591016548463356,8,0,48,0.7903930131004366,0.0,0.8735613977009045,0.07337610150277879,0.3108108108108109,0.5804138767382492,0.5,
montgomery_county_md__county,employment,Raw,239,24670.74659547292,93844.0,3346.701680672269,4,0,120,0.49367088607594933,0.0,1.0,,,,,
montgomery_county_md__county,employment,MA3,239,24405.080601619036,89703.66666666669,1793.7114845938381,21,0,62,0.7383966244725738,0.0,0.9863257445689521,0.010768461863356537,0.04411931858545367,0.46403604033403834,0.48333333333333334,
montgomery_county_md__county,employment,MA6,237,24191.67146276885,88986.0,1278.532485875709,18,0,51,0.7829787234042553,0.0,0.9670547509350884,0.019418752928700624,0.051766761860108264,0.6179723776219924,0.575,
montgomery_county_md__county,employment,MA9,235,24019.131527939884,85927.66666666663,984.411028015197,10,0,41,0.8240343347639485,0.0,0.9497339125056241,0.026412458374997325,0.08435630763110452,0.7058563559159378,0.6583333333333333,
montgomery_county_md__county,labor_force,Raw,239,22407.633940390646,96984.0,3663.785714285714,1,0,126,0.4683544303797469,0.0,1.0,,,,,
montgomery_county_md__county,labor_force,MA3,239,22162.826465373644,90816.33333333331,1887.7668067226896,26,0,68,0.7130801687763713,0.0,0.9864442453763396,0.010925181822777217,0.06359468228436325,0.48474966771064953,0.4603174603174603,
montgomery_county_md__county,labor_force,MA6,237,21996.10972556439,87695.0,1222.0042372881342,21,0,63,0.7319148936170212,0.0,0.9724666076212122,0.018365357802657887,0.09577868514394126,0.666464053144993,0.5,
montgomery_county_md__county,labor_force,MA9,235,21885.301723563036,85031.5555555555,855.9383903133862,13,0,52,0.7768240343347639,0.0,0.9617276862739891,0.02331045831153487,0.12324140522606303,0.7663786975925095,0.5873015873015873,
montgomery_county_md__county,laus_unemployment_rate,Raw,239,1.3295497780924652,6.8999999999999995,0.2764705882352942,1,0,95,0.5388349514563107,0.0,0.9999999999999997,,,,,
montgomery_county_md__county,laus_unemployment_rate,MA3,239,1.2973673922581785,6.333333333333334,0.15434173669467788,14,0,71,0.6872246696035242,0.0,0.9686068054771333,0.024205476443657087,0.08212560386473414,0.44174265450861205,0.25263157894736843,
montgomery_county_md__county,laus_unemployment_rate,MA6,237,1.2645613435914451,5.616666666666667,0.10638418079096046,4,0,67,0.6995515695067265,0.0,0.919296819927957,0.048880031099144294,0.1859903381642511,0.6152061545858878,0.29473684210526313,
montgomery_county_md__county,laus_unemployment_rate,MA9,235,1.2342348682098354,5.111111111111112,0.08936965811965814,4,0,49,0.7772727272727273,0.0,0.8682237950005354,0.07168961362197378,0.25925925925925913,0.6767480450991089,0.4842105263157895,
prince_george_s_county_md__county,employment,Raw,239,26161.65281812925,105414.0,3348.201680672269,4,0,123,0.4810126582278481,0.0,0.9999999999999996,,,,,
prince_george_s_county_md__county,employment,MA3,239,25953.877536802007,99079.0,1525.6981792717115,14,0,86,0.6371308016877637,0.0,0.9900040420633887,0.007941978389960887,0.06009638188475914,0.5443230949679907,0.3008130081300813,
prince_george_s_county_md__county,employment,MA6,237,25815.331853438063,95359.50000000006,1130.6617937853116,6,0,62,0.7361702127659575,0.0,0.9779297787584573,0.013237732611878229,0.0953810689282253,0.6623077396107478,0.4959349593495935,
prince_george_s_county_md__county,employment,MA9,235,25695.95044419774,93115.22222222219,917.2925569800567,5,0,53,0.7725321888412018,0.0,0.9653279648474117,0.01780095382998089,0.1166711990606353,0.7260342582481835,0.5691056910569106,
prince_george_s_county_md__county,labor_force,Raw,239,24205.061575754044,102424.0,3455.5588235294117,0,0,123,0.4810126582278481,0.0,1.0,,,,,
prince_george_s_county_md__county,labor_force,MA3,239,24020.57062925645,99189.99999999994,1493.8389355742297,17,0,80,0.6624472573839663,0.0,0.9908572834251598,0.007621998643556279,0.03157463094587263,0.5676997522361769,0.34959349593495936,
prince_george_s_county_md__county,labor_force,MA6,237,23925.38282077637,95245.33333333331,1040.1446327683616,4,0,88,0.625531914893617,0.0,0.9844685105227803,0.011554556641071544,0.0700877398526389,0.698993799299302,0.2845528455284553,
prince_george_s_county_md__county,labor_force,MA9,235,23852.63013322221,92491.55555555556,773.0126000542672,5,0,57,0.7553648068669527,0.0,0.9774114897098595,0.014560237387904865,0.09697379954350971,0.7762988160436715,0.5365853658536586,
prince_george_s_county_md__county,laus_unemployment_rate,Raw,239,1.8375968189035032,8.3,0.3050420168067227,2,0,97,0.5221674876847291,0.0,0.9999999999999999,,,,,
prince_george_s_county_md__county,laus_unemployment_rate,MA3,239,1.8087540566950513,7.933333333333334,0.1834733893557423,19,0,69,0.7,0.0,0.9793539470108408,0.015695914311422494,0.044176706827309294,0.3985307621671258,0.28865979381443296,
prince_george_s_county_md__county,laus_unemployment_rate,MA6,237,1.777234757848997,7.216666666666667,0.12404661016949148,5,0,58,0.7433628318584071,0.0,0.941132989545901,0.032848370455127514,0.13052208835341372,0.5933458234113089,0.4020618556701031,
prince_george_s_county_md__county,laus_unemployment_rate,MA9,235,1.7453921622495931,6.7666666666666675,0.1143221747388414,9,0,43,0.8122270742358079,0.0,0.8973343878089118,0.050176761140089884,0.18473895582329314,0.6252248266137156,0.5567010309278351,
san_francisco_county_ca__county,employment,Raw,239,35094.559024622766,136625.0,3331.2100840336134,1,0,147,0.379746835443038,0.0,0.9999999999999996,,,,,
san_francisco_county_ca__county,employment,MA3,239,34816.602899317266,134935.5,2037.8648459383744,11,0,70,0.7046413502109705,0.0,0.9897194894350593,0.007920205668077565,0.012365965233302837,0.3882508774496699,0.5238095238095238,
san_francisco_county_ca__county,employment,MA6,237,34421.73229969751,132702.91666666663,1718.471822033898,6,0,37,0.8425531914893617,0.0,0.9718170022546656,0.01917182445441727,0.028706922842330264,0.48412985711394185,0.7482993197278912,
san_francisco_county_ca__county,employment,MA9,235,34040.92449213182,129502.83333333331,1573.414055080721,7,0,19,0.9184549356223176,0.0,0.9525262196448187,0.030022731778783892,0.05212930771576715,0.5276749243099239,0.8707482993197279,
san_francisco_county_ca__county,labor_force,Raw,239,30791.74279004308,133606.0,2907.781512605042,5,0,125,0.47257383966244726,0.0,1.0,,,,,
san_francisco_county_ca__county,labor_force,MA3,239,30630.068573307446,131571.83333333337,1774.3270308123263,25,0,73,0.6919831223628692,0.0,0.9937038840232022,0.005250570512946562,0.015225114640559765,0.38980042925483394,0.416,
san_francisco_county_ca__county,labor_force,MA6,237,30314.19535757349,128485.0,1360.004519774011,6,0,43,0.8170212765957447,0.0,0.9838604397696175,0.015508944580558492,0.03832911695582534,0.5322879267653087,0.656,
san_francisco_county_ca__county,labor_force,MA9,235,30005.034992380864,125136.61111111107,1243.5993589743598,12,0,29,0.8755364806866953,0.0,0.9718489189794988,0.025549310509199535,0.06339078251642093,0.5723202195270043,0.768,
san_francisco_county_ca__county,laus_unemployment_rate,Raw,239,2.333531521349899,11.9,0.3176470588235294,0,0,95,0.5365853658536586,0.0,0.9999999999999997,,,,,
san_francisco_county_ca__county,laus_unemployment_rate,MA3,239,2.2720748317765613,11.3,0.21211484593837535,15,0,71,0.6830357142857143,0.0,0.9665865771988187,0.02633634429664199,0.05042016806722686,0.33223104056437386,0.25263157894736843,
san_francisco_county_ca__county,laus_unemployment_rate,MA6,237,2.2006590732738323,9.616666666666665,0.15197740112994354,4,0,50,0.782608695652174,0.0,0.906087000442931,0.05694049849354633,0.19187675070028024,0.5215526260723999,0.47368421052631576,
san_francisco_county_ca__county,laus_unemployment_rate,MA9,235,2.139401243464961,8.133333333333333,0.13649097815764485,7,0,34,0.8495575221238938,0.0,0.8543721395068132,0.08319162441510015,0.31652661064425774,0.5703061798740809,0.6421052631578947,
