date,metric,stage,standardized_value,county_count
2007-04-30,laus_unemployment_rate,MA6,-0.8541523104045993,7
2007-04-30,laus_unemployment_rate,MA9,-0.8491535534217658,7
2007-04-30,laus_unemployment_rate,Raw,-0.957088516949317,7
2007-05-31,employment,MA3,-1.1931517860614034,7
2007-05-31,employment,MA6,-1.2300381304731967,7
2007-05-31,employment,MA9,-1.2514618271252194,7
2007-05-31,employment,Raw,-1.1773433793479178,7
2007-05-31,labor_force,MA3,-1.9203822964456378,7
2007-05-31,labor_force,MA6,-1.9667441870835585,7
2007-05-31,labor_force,MA9,-2.0222695332850273,7
2007-05-31,labor_force,Raw,-1.8933472094784132,7
2007-05-31,laus_unemployment_rate,MA3,-0.9239726254846506,7
2007-05-31,laus_unemployment_rate,MA6,-0.8750800405660885,7
2007-05-31,laus_unemployment_rate,MA9,-0.8921326486940242,7
2007-05-31,laus_unemployment_rate,Raw,-0.9170480169220631,7
2007-06-30,employment,MA3,-1.1565009086946028,7
2007-06-30,employment,MA6,-1.2213718296285754,7
2007-06-30,employment,MA9,-1.2183775632692029,7
2007-06-30,employment,Raw,-1.0600326492791572,7
2007-06-30,labor_force,MA3,-1.8511268923777249,7
2007-06-30,labor_force,MA6,-1.9340172062365732,7
2007-06-30,labor_force,MA9,-1.973811858548387,7
2007-06-30,labor_force,Raw,-1.6324181099363335,7
2007-06-30,laus_unemployment_rate,MA3,-0.8652439433151107,7
2007-06-30,laus_unemployment_rate,MA6,-0.8312315025216473,7
2007-06-30,laus_unemployment_rate,MA9,-0.8872286763102097,7
2007-06-30,laus_unemployment_rate,Raw,-0.6511063898103339,7
2007-07-31,employment,MA3,-1.0521981142067072,7
2007-07-31,employment,MA6,-1.1478263103108486,7
2007-07-31,employment,MA9,-1.1865117908759903,7
2007-07-31,employment,Raw,-0.89208645268206,7
2007-07-31,labor_force,MA3,-1.665382447373235,7
2007-07-31,labor_force,MA6,-1.8327963335780184,7
2007-07-31,labor_force,MA9,-1.912881067155953,7
2007-07-31,labor_force,Raw,-1.3760796090909593,7
2007-07-31,laus_unemployment_rate,MA3,-0.7503451346934525,7
2007-07-31,laus_unemployment_rate,MA6,-0.8335825071725693,7
2007-07-31,laus_unemployment_rate,MA9,-0.8617214473115492,7
2007-07-31,laus_unemployment_rate,Raw,-0.6188045901341921,7
2007-08-31,employment,MA3,-1.0145833239661675,7
2007-08-31,employment,MA6,-1.1126346582551279,7
2007-08-31,employment,MA9,-1.1750644707047961,7
2007-08-31,employment,Raw,-1.0658460581456353,7
2007-08-31,labor_force,MA3,-1.57682727304687,7
2007-08-31,labor_force,MA6,-1.7827442928206878,7
2007-08-31,labor_force,MA9,-1.8868143888685887,7
2007-08-31,labor_force,Raw,-1.6357687129019804,7
2007-08-31,laus_unemployment_rate,MA3,-0.6878837864239004,7
2007-08-31,laus_unemployment_rate,MA6,-0.8354123369293056,7
2007-08-31,laus_unemployment_rate,MA9,-0.8540453323816531,7
2007-08-31,laus_unemployment_rate,Raw,-0.7333175077438762,7
2007-09-30,employment,MA3,-1.0297633171651737,7
2007-09-30,employment,MA6,-1.1017156943235697,7
2007-09-30,employment,MA9,-1.1744370906900499,7
2007-09-30,employment,Raw,-1.104445912961745,7
2007-09-30,labor_force,MA3,-1.5953847234410239,7
2007-09-30,labor_force,MA6,-1.7564064833459807,7
2007-09-30,labor_force,MA9,-1.8704560365793763,7
2007-09-30,labor_force,Raw,-1.6890080185450174,7
2007-09-30,laus_unemployment_rate,MA3,-0.728946649561725,7
