geo_id,date,axis,dimension,dimension_score,configured_weight,weighted_contribution,integrated_demand_axis,complete_dimension_coverage,source_role,source_path,price_family_candidate_id,integration_policy
alameda_county_ca__county,2016-04-30,demand,demand,0.6429887436456064,0.65,0.4179426833696442,0.3720848279950845,True,incumbent_dimension_history,artifacts/regime/runs/macro_regime_v1_bps120_sources/dimension_scores.parquet,price_family_ma12_structural_linked,incumbent_demand_capital_markets__ma12_price_affordability
alameda_county_ca__county,2016-04-30,demand,price,-0.1470175438596491,0.15,-0.022052631578947365,0.3720848279950845,True,ma12_price_family_challenger,artifacts/regime/comparisons/price_family_structural_windows/price_family_ma12_structural_linked/phase2_chronology/chronology_monthly.csv,price_family_ma12_structural_linked,incumbent_demand_capital_markets__ma12_price_affordability
alameda_county_ca__county,2016-04-30,demand,affordability,-0.3200073354117,0.1,-0.03200073354117,0.3720848279950845,True,ma12_price_family_challenger,artifacts/regime/comparisons/price_family_structural_windows/price_family_ma12_structural_linked/phase2_chronology/chronology_monthly.csv,price_family_ma12_structural_linked,incumbent_demand_capital_markets__ma12_price_affordability
alameda_county_ca__county,2016-04-30,demand,capital_markets,0.08195509745557719,0.1,0.00819550974555772,0.3720848279950845,True,incumbent_dimension_history,artifacts/regime/runs/macro_regime_v1_bps120_sources/dimension_scores.parquet,price_family_ma12_structural_linked,incumbent_demand_capital_markets__ma12_price_affordability
alameda_county_ca__county,2016-05-31,demand,demand,0.8350053516819571,0.65,0.5427534785932722,0.48427952173177435,True,incumbent_dimension_history,artifacts/regime/runs/macro_regime_v1_bps120_sources/dimension_scores.parquet,price_family_ma12_structural_linked,incumbent_demand_capital_markets__ma12_price_affordability
alameda_county_ca__county,2016-05-31,demand,price,-0.2545299145299144,0.15,-0.03817948717948716,0.48427952173177435,True,ma12_price_family_challenger,artifacts/regime/comparisons/price_family_structural_windows/price_family_ma12_structural_linked/phase2_chronology/chronology_monthly.csv,price_family_ma12_structural_linked,incumbent_demand_capital_markets__ma12_price_affordability
alameda_county_ca__county,2016-05-31,demand,affordability,-0.3393511250654107,0.1,-0.03393511250654107,0.48427952173177435,True,ma12_price_family_challenger,artifacts/regime/comparisons/price_family_structural_windows/price_family_ma12_structural_linked/phase2_chronology/chronology_monthly.csv,price_family_ma12_structural_linked,incumbent_demand_capital_markets__ma12_price_affordability
alameda_county_ca__county,2016-05-31,demand,capital_markets,0.13640642824530413,0.1,0.013640642824530414,0.48427952173177435,True,incumbent_dimension_history,artifacts/regime/runs/macro_regime_v1_bps120_sources/dimension_scores.parquet,price_family_ma12_structural_linked,incumbent_demand_capital_markets__ma12_price_affordability
alameda_county_ca__county,2016-06-30,demand,demand,0.6128686868686869,0.65,0.3983646464646465,0.35076218842716794,True,incumbent_dimension_history,artifacts/regime/runs/macro_regime_v1_bps120_sources/dimension_scores.parquet,price_family_ma12_structural_linked,incumbent_demand_capital_markets__ma12_price_affordability
alameda_county_ca__county,2016-06-30,demand,price,-0.2733333333333333,0.15,-0.040999999999999995,0.35076218842716794,True,ma12_price_family_challenger,artifacts/regime/comparisons/price_family_structural_windows/price_family_ma12_structural_linked/phase2_chronology/chronology_monthly.csv,price_family_ma12_structural_linked,incumbent_demand_capital_markets__ma12_price_affordability
alameda_county_ca__county,2016-06-30,demand,affordability,-0.3601328903654485,0.1,-0.03601328903654485,0.35076218842716794,True,ma12_price_family_challenger,artifacts/regime/comparisons/price_family_structural_windows/price_family_ma12_structural_linked/phase2_chronology/chronology_monthly.csv,price_family_ma12_structural_linked,incumbent_demand_capital_markets__ma12_price_affordability
alameda_county_ca__county,2016-06-30,demand,capital_markets,0.2941083099906629,0.1,0.02941083099906629,0.35076218842716794,True,incumbent_dimension_history,artifacts/regime/runs/macro_regime_v1_bps120_sources/dimension_scores.parquet,price_family_ma12_structural_linked,incumbent_demand_capital_markets__ma12_price_affordability
alameda_county_ca__county,2016-07-31,demand,demand,0.7680315315315314,0.65,0.4992204954954954,0.4727343303113844,True,incumbent_dimension_history,artifacts/regime/runs/macro_regime_v1_bps120_sources/dimension_scores.parquet,price_family_ma12_structural_linked,incumbent_demand_capital_markets__ma12_price_affordability
alameda_county_ca__county,2016-07-31,demand,price,-0.3074796747967479,0.15,-0.04612195121951219,0.4727343303113844,True,ma12_price_family_challenger,artifacts/regime/comparisons/price_family_structural_windows/price_family_ma12_structural_linked/phase2_chronology/chronology_monthly.csv,price_family_ma12_structural_linked,incumbent_demand_capital_markets__ma12_price_affordability
alameda_county_ca__county,2016-07-31,demand,affordability,-0.2407190370605005,0.1,-0.02407190370605005,0.4727343303113844,True,ma12_price_family_challenger,artifacts/regime/comparisons/price_family_structural_windows/price_family_ma12_structural_linked/phase2_chronology/chronology_monthly.csv,price_family_ma12_structural_linked,incumbent_demand_capital_markets__ma12_price_affordability
alameda_county_ca__county,2016-07-31,demand,capital_markets,0.43707689741451206,0.1,0.04370768974145121,0.4727343303113844,True,incumbent_dimension_history,artifacts/regime/runs/macro_regime_v1_bps120_sources/dimension_scores.parquet,price_family_ma12_structural_linked,incumbent_demand_capital_markets__ma12_price_affordability
alameda_county_ca__county,2016-08-31,demand,demand,0.629734126984127,0.65,0.4093271825396826,0.3499507119731333,True,incumbent_dimension_history,artifacts/regime/runs/macro_regime_v1_bps120_sources/dimension_scores.parquet,price_family_ma12_structural_linked,incumbent_demand_capital_markets__ma12_price_affordability
alameda_county_ca__county,2016-08-31,demand,price,-0.3082539682539681,0.15,-0.04623809523809522,0.3499507119731333,True,ma12_price_family_challenger,artifacts/regime/comparisons/price_family_structural_windows/price_family_ma12_structural_linked/phase2_chronology/chronology_monthly.csv,price_family_ma12_structural_linked,incumbent_demand_capital_markets__ma12_price_affordability
alameda_county_ca__county,2016-08-31,demand,affordability,-0.2921768707482993,0.1,-0.02921768707482993,0.3499507119731333,True,ma12_price_family_challenger,artifacts/regime/comparisons/price_family_structural_windows/price_family_ma12_structural_linked/phase2_chronology/chronology_monthly.csv,price_family_ma12_structural_linked,incumbent_demand_capital_markets__ma12_price_affordability
alameda_county_ca__county,2016-08-31,demand,capital_markets,0.16079311746375827,0.1,0.016079311746375828,0.3499507119731333,True,incumbent_dimension_history,artifacts/regime/runs/macro_regime_v1_bps120_sources/dimension_scores.parquet,price_family_ma12_structural_linked,incumbent_demand_capital_markets__ma12_price_affordability
alameda_county_ca__county,2016-09-30,demand,demand,0.8074970501474926,0.65,0.5248730825958702,0.4462955743099892,True,incumbent_dimension_history,artifacts/regime/runs/macro_regime_v1_bps120_sources/dimension_scores.parquet,price_family_ma12_structural_linked,incumbent_demand_capital_markets__ma12_price_affordability
alameda_county_ca__county,2016-09-30,demand,price,-0.3089922480620155,0.15,-0.04634883720930232,0.4462955743099892,True,ma12_price_family_challenger,artifacts/regime/comparisons/price_family_structural_windows/price_family_ma12_structural_linked/phase2_chronology/chronology_monthly.csv,price_family_ma12_structural_linked,incumbent_demand_capital_markets__ma12_price_affordability
alameda_county_ca__county,2016-09-30,demand,affordability,-0.4145673840820454,0.1,-0.041456738408204546,0.4462955743099892,True,ma12_price_family_challenger,artifacts/regime/comparisons/price_family_structural_windows/price_family_ma12_structural_linked/phase2_chronology/chronology_monthly.csv,price_family_ma12_structural_linked,incumbent_demand_capital_markets__ma12_price_affordability
alameda_county_ca__county,2016-09-30,demand,capital_markets,0.09228067331625907,0.1,0.009228067331625907,0.4462955743099892,True,incumbent_dimension_history,artifacts/regime/runs/macro_regime_v1_bps120_sources/dimension_scores.parquet,price_family_ma12_structural_linked,incumbent_demand_capital_markets__ma12_price_affordability
alameda_county_ca__county,2016-10-31,demand,demand,0.6529400584795322,0.65,0.42441103801169594,0.3356693140687156,True,incumbent_dimension_history,artifacts/regime/runs/macro_regime_v1_bps120_sources/dimension_scores.parquet,price_family_ma12_structural_linked,incumbent_demand_capital_markets__ma12_price_affordability
alameda_county_ca__county,2016-10-31,demand,price,-0.2642424242424242,0.15,-0.03963636363636363,0.3356693140687156,True,ma12_price_family_challenger,artifacts/regime/comparisons/price_family_structural_windows/price_family_ma12_structural_linked/phase2_chronology/chronology_monthly.csv,price_family_ma12_structural_linked,incumbent_demand_capital_markets__ma12_price_affordability
alameda_county_ca__county,2016-10-31,demand,affordability,-0.509850787510362,0.1,-0.050985078751036195,0.3356693140687156,True,ma12_price_family_challenger,artifacts/regime/comparisons/price_family_structural_windows/price_family_ma12_structural_linked/phase2_chronology/chronology_monthly.csv,price_family_ma12_structural_linked,incumbent_demand_capital_markets__ma12_price_affordability
alameda_county_ca__county,2016-10-31,demand,capital_markets,0.01879718444419463,0.1,0.001879718444419463,0.3356693140687156,True,incumbent_dimension_history,artifacts/regime/runs/macro_regime_v1_bps120_sources/dimension_scores.parquet,price_family_ma12_structural_linked,incumbent_demand_capital_markets__ma12_price_affordability
alameda_county_ca__county,2016-11-30,demand,demand,0.7284685990338163,0.65,0.47350458937198064,0.3374114951352946,True,incumbent_dimension_history,artifacts/regime/runs/macro_regime_v1_bps120_sources/dimension_scores.parquet,price_family_ma12_structural_linked,incumbent_demand_capital_markets__ma12_price_affordability
alameda_county_ca__county,2016-11-30,demand,price,-0.4906666666666667,0.15,-0.0736,0.3374114951352946,True,ma12_price_family_challenger,artifacts/regime/comparisons/price_family_structural_windows/price_family_ma12_structural_linked/phase2_chronology/chronology_monthly.csv,price_family_ma12_structural_linked,incumbent_demand_capital_markets__ma12_price_affordability
