candidate_id,level_window,geo_id,series_type,series_key,first_source_date,first_valid_structural_date,last_date,usable_months,warmup_months,common_evaluation_window_months,overlap_months_vs_common_evaluation_window
price_family_ma6_structural_linked,6,alameda_county_ca__county,axis_score,demand,2008-12-31,2008-12-31,2026-07-31,209,5,209,209
price_family_ma6_structural_linked,6,alameda_county_ca__county,dimension_score,affordability,2015-11-30,2015-11-30,2026-07-31,129,5,129,129
price_family_ma6_structural_linked,6,alameda_county_ca__county,dimension_score,price,2014-12-31,2015-05-31,2026-07-31,135,5,140,135
price_family_ma6_structural_linked,6,alameda_county_ca__county,metric_score,median_ppsf,2014-12-31,2015-05-31,2026-05-31,133,5,138,133
price_family_ma6_structural_linked,6,alameda_county_ca__county,metric_score,median_sale_price,2014-12-31,2015-05-31,2026-05-31,133,5,138,133
price_family_ma6_structural_linked,6,alameda_county_ca__county,metric_score,payment_burden,2015-11-30,2015-11-30,2026-05-31,127,5,127,127
price_family_ma6_structural_linked,6,alameda_county_ca__county,metric_score,price_to_income,2015-11-30,2015-11-30,2026-05-31,127,5,127,127
price_family_ma6_structural_linked,6,district_of_columbia_dc__county,axis_score,demand,2008-12-31,2008-12-31,2026-07-31,209,5,209,209
price_family_ma6_structural_linked,6,district_of_columbia_dc__county,dimension_score,affordability,2015-11-30,2015-11-30,2026-07-31,129,5,129,129
price_family_ma6_structural_linked,6,district_of_columbia_dc__county,dimension_score,price,2014-12-31,2015-05-31,2026-07-31,135,5,140,135
price_family_ma6_structural_linked,6,district_of_columbia_dc__county,metric_score,median_ppsf,2014-12-31,2015-05-31,2026-05-31,133,5,138,133
price_family_ma6_structural_linked,6,district_of_columbia_dc__county,metric_score,median_sale_price,2014-12-31,2015-05-31,2026-05-31,133,5,138,133
price_family_ma6_structural_linked,6,district_of_columbia_dc__county,metric_score,payment_burden,2015-11-30,2015-11-30,2026-05-31,127,5,127,127
price_family_ma6_structural_linked,6,district_of_columbia_dc__county,metric_score,price_to_income,2015-11-30,2015-11-30,2026-05-31,127,5,127,127
