candidate_id,candidate_label,geo_id,rows,first_date,last_date,complete_dimension_coverage_rate,level_rows_compared,max_absolute_level_residual,mean_absolute_level_residual,change_rows_compared,max_absolute_change_residual,mean_absolute_change_residual
price_family_ma12_structural_linked,MA12_PRICE_AFFORDABILITY,alameda_county_ca__county,139,2015-01-31,2026-07-31,0.0,0,,,0,,
price_family_ma12_structural_linked,MA12_PRICE_AFFORDABILITY,district_of_columbia_dc__county,139,2015-01-31,2026-07-31,0.0,0,,,0,,
