candidate_id,geo_id,series_type,series_key,period,baseline_row_count,challenger_row_count,overlap_row_count,available,first_date,last_date,baseline_mean,challenger_mean,mean_absolute_difference
price_family_ma9_structural_linked,alameda_county_ca__county,metric_score,payment_burden,most_recent_available_period,12,12,12,True,2025-06-30,2026-05-31,0.009222222222222196,0.08763888888888889,0.19575
price_family_ma9_structural_linked,alameda_county_ca__county,metric_score,payment_burden,pandemic_disruption,24,24,24,True,2020-01-31,2021-12-31,0.017184907509407456,0.04960617560466405,0.18972062919050114
price_family_ma9_structural_linked,alameda_county_ca__county,metric_score,payment_burden,pre_gfc_early_history,0,0,0,False,,,,,
price_family_ma9_structural_linked,alameda_county_ca__county,metric_score,payment_burden,recovery_expansion,50,50,50,True,2015-11-30,2019-12-31,-0.12518245410096615,-0.25414255673320285,0.27647555638535054
price_family_ma9_structural_linked,alameda_county_ca__county,metric_score,price_to_income,gfc_housing_correction,0,0,0,False,,,,,
price_family_ma9_structural_linked,alameda_county_ca__county,metric_score,price_to_income,mortgage_rate_affordability_shock,36,36,36,True,2022-01-31,2024-12-31,-0.16725115124391643,-0.277472953784729,0.3135502945896068
price_family_ma9_structural_linked,alameda_county_ca__county,metric_score,price_to_income,most_recent_available_period,12,12,12,True,2025-06-30,2026-05-31,0.34430555555555564,0.3538888888888889,0.3626388888888889
price_family_ma9_structural_linked,alameda_county_ca__county,metric_score,price_to_income,pandemic_disruption,24,24,24,True,2020-01-31,2021-12-31,-0.3620687969896366,-0.34083253016170895,0.22780373152856562
price_family_ma9_structural_linked,alameda_county_ca__county,metric_score,price_to_income,pre_gfc_early_history,0,0,0,False,,,,,
price_family_ma9_structural_linked,alameda_county_ca__county,metric_score,price_to_income,recovery_expansion,50,50,50,True,2015-11-30,2019-12-31,-0.07167798636677924,-0.14529259699960917,0.2765597325021338
price_family_ma9_structural_linked,district_of_columbia_dc__county,axis_score,demand,gfc_housing_correction,46,46,46,True,2008-12-31,2012-12-31,0.2495221604786733,0.2495221604786733,0.0
price_family_ma9_structural_linked,district_of_columbia_dc__county,axis_score,demand,mortgage_rate_affordability_shock,36,36,36,True,2022-01-31,2024-12-31,0.009825344523528953,-0.012622881828026412,0.042746200469482826
price_family_ma9_structural_linked,district_of_columbia_dc__county,axis_score,demand,most_recent_available_period,12,12,12,True,2025-08-31,2026-07-31,-0.035310954053499925,-0.05409706516461104,0.04176111111111111
price_family_ma9_structural_linked,district_of_columbia_dc__county,axis_score,demand,pandemic_disruption,24,24,24,True,2020-01-31,2021-12-31,-0.01063178229680717,0.014111316483380857,0.04023180440925436
price_family_ma9_structural_linked,district_of_columbia_dc__county,axis_score,demand,pre_gfc_early_history,0,0,0,False,,,,,
